(0.984635,0)	(0.575269,0)	(0.364826,0)	(0.249474,0)	(0.17828,0)	(0.130951,0)	(0.097986,0)	(0.0742994,0)	(0.0569067,0)	(0.0439169,0)	(0.0340946,0)	(0.0265967,0)	(0.0208261,0)	(0.0163588,0)	(0.0128849,0)	(0.0101721,0)	(0.0080464,0)	(0.00637441,0)	(0.00505671,0)	(0.00401459,0)	(0.00318972,0)	(0.00253611,0)	(0.0020174,0)	(0.00160547,0)	(0.00127814,0)	(0.00101801,0)	(0.000811067,0)	(0.000646404,0)	(0.000515193,0)	(0.000410659,0)	(0.000327351,0)	(0.000260936,0)	(0.000208005,0)	(0.000165788,0)	(0.000132102,0)	(0.000105229,0)	(8.38015e-05,0)	(6.67302e-05,0)	(5.31342e-05,0)	(4.23064e-05,0)	(3.36838e-05,0)	(2.6807e-05,0)	(2.13208e-05,0)	(1.69429e-05,0)	(1.34392e-05,0)	(1.06284e-05,0)	(8.35712e-06,0)	(6.48992e-06,0)	(4.89955e-06,0)	(3.3476e-06,0)	
(0.00253611,0)	(0.0037081,0)	(0.00491166,0)	(0.00633148,0)	(0.00806929,0)	(0.010231,0)	(0.0129434,0)	(0.0163634,0)	(0.0207062,0)	(0.0262416,0)	(0.0333319,0)	(0.0424637,0)	(0.054305,0)	(0.0697961,0)	(0.0902715,0)	(0.117715,0)	(0.155171,0)	(0.207641,0)	(0.28414,0)	(0.4033,0)	(0.610551,0)	(1,0)	(0.610551,0)	(0.4033,0)	(0.28414,0)	(0.207642,0)	(0.155173,0)	(0.117717,0)	(0.0902736,0)	(0.0697981,0)	(0.0543125,0)	(0.0424754,0)	(0.0333527,0)	(0.0262709,0)	(0.0207403,0)	(0.0164031,0)	(0.0129908,0)	(0.0103,0)	(0.0081741,0)	(0.00649145,0)	(0.00515798,0)	(0.0040985,0)	(0.00325579,0)	(0.00258489,0)	(0.00204896,0)	(0.00161964,0)	(0.00127315,0)	(0.000988591,0)	(0.000746404,0)	(0.000510135,0)	
(0.0020174,0)	(0.00294926,0)	(0.00390562,0)	(0.00503285,0)	(0.006411,0)	(0.00812287,0)	(0.010267,0)	(0.0129643,0)	(0.0163799,0)	(0.0207185,0)	(0.0262517,0)	(0.0333394,0)	(0.0424678,0)	(0.0543093,0)	(0.0697945,0)	(0.0902718,0)	(0.117716,0)	(0.155172,0)	(0.207641,0)	(0.28414,0)	(0.4033,0)	(0.610551,0)	(1,0)	(0.610551,0)	(0.4033,0)	(0.28414,0)	(0.207642,0)	(0.155172,0)	(0.117717,0)	(0.0902747,0)	(0.0697992,0)	(0.0543126,0)	(0.0424772,0)	(0.0333523,0)	(0.0262657,0)	(0.0207329,0)	(0.0163952,0)	(0.0129841,0)	(0.0102948,0)	(0.0081698,0)	(0.00648798,0)	(0.00515311,0)	(0.00409221,0)	(0.00324814,0)	(0.00257421,0)	(0.00203456,0)	(0.00159915,0)	(0.00124166,0)	(0.000937455,0)	(0.000640719,0)	
(0.00160547,0)	(0.00234678,0)	(0.0031072,0)	(0.00400289,0)	(0.00509699,0)	(0.00645449,0)	(0.00815237,0)	(0.0102844,0)	(0.0129783,0)	(0.0163908,0)	(0.0207277,0)	(0.0262588,0)	(0.0333434,0)	(0.0424714,0)	(0.0543067,0)	(0.069795,0)	(0.0902725,0)	(0.117717,0)	(0.155173,0)	(0.207641,0)	(0.28414,0)	(0.4033,0)	(0.610551,0)	(1,0)	(0.610551,0)	(0.4033,0)	(0.28414,0)	(0.207642,0)	(0.155173,0)	(0.117717,0)	(0.0902744,0)	(0.0697984,0)	(0.0543139,0)	(0.0424769,0)	(0.0333472,0)	(0.0262584,0)	(0.0207252,0)	(0.0163889,0)	(0.0129794,0)	(0.0102909,0)	(0.00816671,0)	(0.00648292,0)	(0.00514608,0)	(0.00408332,0)	(0.00323533,0)	(0.00255662,0)	(0.00200924,0)	(0.00155996,0)	(0.00117774,0)	(0.000804956,0)	
(0.00127814,0)	(0.00186814,0)	(0.00247312,0)	(0.00318533,0)	(0.0040547,0)	(0.00513242,0)	(0.00647885,0)	(0.00816714,0)	(0.0102967,0)	(0.0129883,0)	(0.0163996,0)	(0.020735,0)	(0.0262634,0)	(0.0333475,0)	(0.0424694,0)	(0.054308,0)	(0.0697955,0)	(0.090273,0)	(0.117718,0)	(0.155173,0)	(0.207642,0)	(0.28414,0)	(0.4033,0)	(0.610551,0)	(1,0)	(0.610551,0)	(0.4033,0)	(0.28414,0)	(0.207642,0)	(0.155173,0)	(0.117717,0)	(0.0902743,0)	(0.0698006,0)	(0.0543154,0)	(0.0424737,0)	(0.0333419,0)	(0.0262528,0)	(0.020721,0)	(0.0163861,0)	(0.0129771,0)	(0.0102891,0)	(0.00816207,0)	(0.00647552,0)	(0.00513609,0)	(0.00406821,0)	(0.00321405,0)	(0.00252551,0)	(0.00196059,0)	(0.00148015,0)	(0.00101166,0)	
(0.00101801,0)	(0.00148782,0)	(0.00196941,0)	(0.00253612,0)	(0.00322751,0)	(0.004084,0)	(0.0051531,0)	(0.0064921,0)	(0.00817878,0)	(0.0103069,0)	(0.012998,0)	(0.0164084,0)	(0.0207417,0)	(0.0262698,0)	(0.0333484,0)	(0.0424733,0)	(0.0543099,0)	(0.0697963,0)	(0.0902737,0)	(0.117718,0)	(0.155173,0)	(0.207642,0)	(0.28414,0)	(0.4033,0)	(0.610551,0)	(1,0)	(0.610551,0)	(0.4033,0)	(0.28414,0)	(0.207642,0)	(0.155172,0)	(0.117716,0)	(0.0902742,0)	(0.0698007,0)	(0.0543117,0)	(0.0424689,0)	(0.0333373,0)	(0.0262498,0)	(0.0207193,0)	(0.0163847,0)	(0.0129761,0)	(0.0102844,0)	(0.00815366,0)	(0.00646371,0)	(0.00511776,0)	(0.00404204,0)	(0.00317546,0)	(0.00246484,0)	(0.00186072,0)	(0.00127177,0)	
(0.000811067,0)	(0.00118531,0)	(0.00156883,0)	(0.00202,0)	(0.00257019,0)	(0.00325138,0)	(0.00410108,0)	(0.00516433,0)	(0.00650218,0)	(0.00818781,0)	(0.0103156,0)	(0.013006,0)	(0.0164148,0)	(0.0207477,0)	(0.0262707,0)	(0.0333515,0)	(0.0424738,0)	(0.0543088,0)	(0.0697955,0)	(0.0902732,0)	(0.117717,0)	(0.155173,0)	(0.207642,0)	(0.28414,0)	(0.4033,0)	(0.610551,0)	(1,0)	(0.610551,0)	(0.4033,0)	(0.28414,0)	(0.207642,0)	(0.155172,0)	(0.117714,0)	(0.0902741,0)	(0.0697985,0)	(0.0543095,0)	(0.0424672,0)	(0.0333371,0)	(0.0262506,0)	(0.0207199,0)	(0.0163852,0)	(0.0129714,0)	(0.010275,0)	(0.00813982,0)	(0.00644155,0)	(0.00508564,0)	(0.00399424,0)	(0.00309986,0)	(0.0023399,0)	(0.00159926,0)	
(0.000646404,0)	(0.000944623,0)	(0.00125018,0)	(0.00160954,0)	(0.00204762,0)	(0.00258977,0)	(0.00326565,0)	(0.00411081,0)	(0.00517332,0)	(0.00651054,0)	(0.00819614,0)	(0.0103236,0)	(0.0130129,0)	(0.0164214,0)	(0.02075,0)	(0.026275,0)	(0.0333533,0)	(0.042474,0)	(0.0543098,0)	(0.069797,0)	(0.0902743,0)	(0.117717,0)	(0.155172,0)	(0.207642,0)	(0.28414,0)	(0.4033,0)	(0.610551,0)	(1,0)	(0.610551,0)	(0.4033,0)	(0.28414,0)	(0.207642,0)	(0.155169,0)	(0.117714,0)	(0.0902727,0)	(0.0697977,0)	(0.0543093,0)	(0.042468,0)	(0.0333383,0)	(0.026251,0)	(0.0207198,0)	(0.0163788,0)	(0.0129592,0)	(0.0102573,0)	(0.00811183,0)	(0.00640117,0)	(0.00502566,0)	(0.00389944,0)	(0.00294311,0)	(0.00201148,0)	
(0.000515193,0)	(0.000752849,0)	(0.000996316,0)	(0.0012826,0)	(0.00163149,0)	(0.00206312,0)	(0.00260099,0)	(0.00327319,0)	(0.0041177,0)	(0.00517961,0)	(0.0065167,0)	(0.00820188,0)	(0.0103282,0)	(0.0130169,0)	(0.0164214,0)	(0.0207513,0)	(0.0262736,0)	(0.0333503,0)	(0.0424721,0)	(0.0543094,0)	(0.0697973,0)	(0.0902736,0)	(0.117717,0)	(0.155173,0)	(0.207642,0)	(0.28414,0)	(0.4033,0)	(0.610551,0)	(1,0)	(0.610551,0)	(0.403299,0)	(0.28414,0)	(0.207641,0)	(0.155169,0)	(0.117712,0)	(0.0902708,0)	(0.0697951,0)	(0.0543063,0)	(0.0424646,0)	(0.0333336,0)	(0.0262459,0)	(0.0207076,0)	(0.01636,0)	(0.0129343,0)	(0.01022,0)	(0.00805957,0)	(0.00632476,0)	(0.00490593,0)	(0.00370213,0)	(0.00253011,0)	
(0.000410659,0)	(0.000600077,0)	(0.000794102,0)	(0.00102221,0)	(0.00130015,0)	(0.00164391,0)	(0.00207214,0)	(0.00260707,0)	(0.00327877,0)	(0.00412281,0)	(0.00518462,0)	(0.00652136,0)	(0.00820553,0)	(0.0103313,0)	(0.0130167,0)	(0.0164222,0)	(0.0207498,0)	(0.0262709,0)	(0.0333491,0)	(0.042473,0)	(0.0543114,0)	(0.0697981,0)	(0.0902747,0)	(0.117717,0)	(0.155173,0)	(0.207642,0)	(0.28414,0)	(0.4033,0)	(0.610551,0)	(1,0)	(0.610551,0)	(0.403299,0)	(0.284139,0)	(0.20764,0)	(0.155168,0)	(0.117711,0)	(0.0902678,0)	(0.0697899,0)	(0.0542995,0)	(0.0424556,0)	(0.0333238,0)	(0.0262278,0)	(0.020682,0)	(0.0163272,0)	(0.0128865,0)	(0.0101538,0)	(0.00796342,0)	(0.00617453,0)	(0.0046584,0)	(0.00318337,0)	
(0.000327351,0)	(0.000478331,0)	(0.000632969,0)	(0.000814748,0)	(0.0010362,0)	(0.00131004,0)	(0.00165108,0)	(0.00207695,0)	(0.00261147,0)	(0.00328277,0)	(0.0041267,0)	(0.0051882,0)	(0.00652406,0)	(0.00820772,0)	(0.0103307,0)	(0.0130168,0)	(0.0164203,0)	(0.020747,0)	(0.0262697,0)	(0.0333502,0)	(0.0424753,0)	(0.0543125,0)	(0.0697992,0)	(0.0902744,0)	(0.117717,0)	(0.155172,0)	(0.207642,0)	(0.28414,0)	(0.403299,0)	(0.610551,0)	(1,0)	(0.610551,0)	(0.403299,0)	(0.284138,0)	(0.207639,0)	(0.155167,0)	(0.117709,0)	(0.0902632,0)	(0.0697832,0)	(0.0542896,0)	(0.0424442,0)	(0.0333027,0)	(0.0261975,0)	(0.0206426,0)	(0.0162693,0)	(0.0128055,0)	(0.0100352,0)	(0.00777693,0)	(0.00586561,0)	(0.00400786,0)	
(0.000260936,0)	(0.000381277,0)	(0.000504524,0)	(0.000649389,0)	(0.000825848,0)	(0.00104401,0)	(0.00131566,0)	(0.00165478,0)	(0.00208029,0)	(0.00261445,0)	(0.00328561,0)	(0.00412921,0)	(0.0051899,0)	(0.00652522,0)	(0.00820646,0)	(0.0103299,0)	(0.0130142,0)	(0.0164169,0)	(0.0207449,0)	(0.0262696,0)	(0.0333512,0)	(0.0424754,0)	(0.0543126,0)	(0.0697984,0)	(0.0902743,0)	(0.117716,0)	(0.155172,0)	(0.207642,0)	(0.28414,0)	(0.403299,0)	(0.610551,0)	(1,0)	(0.610551,0)	(0.403298,0)	(0.284137,0)	(0.207637,0)	(0.155164,0)	(0.117705,0)	(0.0902574,0)	(0.0697738,0)	(0.0542779,0)	(0.0424213,0)	(0.0332688,0)	(0.0261522,0)	(0.0205742,0)	(0.0161717,0)	(0.0126605,0)	(0.00980489,0)	(0.00739228,0)	(0.00505017,0)	
(0.000208005,0)	(0.00030393,0)	(0.000402166,0)	(0.000517623,0)	(0.000658247,0)	(0.000832086,0)	(0.0010485,0)	(0.00131862,0)	(0.00165746,0)	(0.00208268,0)	(0.00261673,0)	(0.00328762,0)	(0.00413057,0)	(0.00519081,0)	(0.00652417,0)	(0.00820581,0)	(0.0103278,0)	(0.0130115,0)	(0.0164155,0)	(0.0207456,0)	(0.0262717,0)	(0.0333527,0)	(0.0424772,0)	(0.0543139,0)	(0.0698006,0)	(0.0902742,0)	(0.117714,0)	(0.155169,0)	(0.207641,0)	(0.284139,0)	(0.403299,0)	(0.610551,0)	(1,0)	(0.61055,0)	(0.403297,0)	(0.284135,0)	(0.207634,0)	(0.155159,0)	(0.117697,0)	(0.0902451,0)	(0.0697579,0)	(0.05425,0)	(0.0423809,0)	(0.0332145,0)	(0.0260697,0)	(0.0204554,0)	(0.0159936,0)	(0.0123756,0)	(0.00932565,0)	(0.00636953,0)	
(0.000165788,0)	(0.000242241,0)	(0.000320532,0)	(0.000412542,0)	(0.000524598,0)	(0.000663109,0)	(0.000835521,0)	(0.00105068,0)	(0.00132052,0)	(0.00165908,0)	(0.00208413,0)	(0.00261788,0)	(0.00328813,0)	(0.00413058,0)	(0.00518907,0)	(0.00652256,0)	(0.00820279,0)	(0.0103241,0)	(0.0130087,0)	(0.0164143,0)	(0.0207454,0)	(0.0262709,0)	(0.0333523,0)	(0.0424769,0)	(0.0543154,0)	(0.0698007,0)	(0.0902741,0)	(0.117714,0)	(0.155169,0)	(0.20764,0)	(0.284138,0)	(0.403298,0)	(0.61055,0)	(1,0)	(0.61055,0)	(0.403296,0)	(0.284132,0)	(0.207629,0)	(0.155151,0)	(0.117684,0)	(0.0902265,0)	(0.0697272,0)	(0.0542053,0)	(0.0423191,0)	(0.0331181,0)	(0.0259278,0)	(0.0202391,0)	(0.0156433,0)	(0.0117802,0)	(0.00804351,0)	
(0.000132102,0)	(0.000193017,0)	(0.000255394,0)	(0.000328699,0)	(0.000417969,0)	(0.000528304,0)	(0.000665632,0)	(0.000836988,0)	(0.00105186,0)	(0.00132139,0)	(0.00165969,0)	(0.00208437,0)	(0.00261743,0)	(0.00328707,0)	(0.00412785,0)	(0.00518613,0)	(0.00651812,0)	(0.00819739,0)	(0.010319,0)	(0.0130044,0)	(0.0164102,0)	(0.0207403,0)	(0.0262657,0)	(0.0333472,0)	(0.0424737,0)	(0.0543117,0)	(0.0697985,0)	(0.0902727,0)	(0.117712,0)	(0.155168,0)	(0.207639,0)	(0.284137,0)	(0.403297,0)	(0.61055,0)	(1,0)	(0.61055,0)	(0.403294,0)	(0.284127,0)	(0.20762,0)	(0.155137,0)	(0.117661,0)	(0.090192,0)	(0.0696769,0)	(0.0541335,0)	(0.0422053,0)	(0.0329477,0)	(0.0256647,0)	(0.0198085,0)	(0.0149039,0)	(0.010172,0)	
(0.000105229,0)	(0.00015375,0)	(0.000203434,0)	(0.00026182,0)	(0.000332919,0)	(0.000420789,0)	(0.000530147,0)	(0.000666591,0)	(0.00083766,0)	(0.00105221,0)	(0.00132146,0)	(0.00165936,0)	(0.00208336,0)	(0.00261577,0)	(0.00328388,0)	(0.00412427,0)	(0.00518108,0)	(0.006512,0)	(0.0081912,0)	(0.0103131,0)	(0.0129984,0)	(0.0164031,0)	(0.0207329,0)	(0.0262584,0)	(0.0333419,0)	(0.0424689,0)	(0.0543095,0)	(0.0697977,0)	(0.0902708,0)	(0.117711,0)	(0.155167,0)	(0.207637,0)	(0.284135,0)	(0.403296,0)	(0.61055,0)	(1,0)	(0.610549,0)	(0.40329,0)	(0.284119,0)	(0.207606,0)	(0.155111,0)	(0.117623,0)	(0.0901348,0)	(0.0695917,0)	(0.0539976,0)	(0.0419994,0)	(0.0326269,0)	(0.0251354,0)	(0.0188903,0)	(0.0128855,0)	
(8.38015e-05,0)	(0.000122441,0)	(0.000162006,0)	(0.000208499,0)	(0.000265113,0)	(0.000335078,0)	(0.000422148,0)	(0.000530773,0)	(0.000666953,0)	(0.000837727,0)	(0.001052,0)	(0.00132086,0)	(0.00165814,0)	(0.00208152,0)	(0.00261259,0)	(0.00328024,0)	(0.00411929,0)	(0.00517506,0)	(0.00650572,0)	(0.00818496,0)	(0.0103065,0)	(0.0129908,0)	(0.0163952,0)	(0.0207252,0)	(0.0262528,0)	(0.0333373,0)	(0.0424672,0)	(0.0543093,0)	(0.0697951,0)	(0.0902678,0)	(0.117709,0)	(0.155164,0)	(0.207634,0)	(0.284132,0)	(0.403294,0)	(0.610549,0)	(1.00001,0)	(0.610547,0)	(0.403283,0)	(0.284104,0)	(0.207579,0)	(0.155071,0)	(0.117559,0)	(0.090033,0)	(0.0694292,0)	(0.053749,0)	(0.0416089,0)	(0.0319782,0)	(0.0239972,0)	(0.0163566,0)	
(6.67302e-05,0)	(9.74979e-05,0)	(0.000129001,0)	(0.00016602,0)	(0.000211097,0)	(0.000266801,0)	(0.000336121,0)	(0.000422597,0)	(0.000531001,0)	(0.000666929,0)	(0.000837465,0)	(0.00105141,0)	(0.00131974,0)	(0.00165649,0)	(0.00207876,0)	(0.00260942,0)	(0.00327595,0)	(0.0041141,0)	(0.00516964,0)	(0.0065003,0)	(0.0081793,0)	(0.0103,0)	(0.0129841,0)	(0.0163889,0)	(0.020721,0)	(0.0262498,0)	(0.0333371,0)	(0.042468,0)	(0.0543063,0)	(0.0697899,0)	(0.0902632,0)	(0.117705,0)	(0.155159,0)	(0.207629,0)	(0.284127,0)	(0.40329,0)	(0.610547,0)	(1.00001,0)	(0.610544,0)	(0.403271,0)	(0.28408,0)	(0.207536,0)	(0.154998,0)	(0.11744,0)	(0.089845,0)	(0.0691366,0)	(0.0532821,0)	(0.0408231,0)	(0.0305758,0)	(0.02082,0)	
(5.31342e-05,0)	(7.76325e-05,0)	(0.000102716,0)	(0.000132191,0)	(0.00016808,0)	(0.00021243,0)	(0.000267618,0)	(0.000336462,0)	(0.000422757,0)	(0.000530956,0)	(0.000666689,0)	(0.000836948,0)	(0.00105046,0)	(0.00131836,0)	(0.00165422,0)	(0.00207615,0)	(0.00260589,0)	(0.00327171,0)	(0.00410968,0)	(0.00516523,0)	(0.00649573,0)	(0.0081741,0)	(0.0102948,0)	(0.0129794,0)	(0.0163861,0)	(0.0207193,0)	(0.0262506,0)	(0.0333383,0)	(0.0424646,0)	(0.0542995,0)	(0.0697832,0)	(0.0902574,0)	(0.117697,0)	(0.155151,0)	(0.20762,0)	(0.284119,0)	(0.403283,0)	(0.610544,0)	(1.00001,0)	(0.610539,0)	(0.403251,0)	(0.284037,0)	(0.207458,0)	(0.154865,0)	(0.117226,0)	(0.0895017,0)	(0.0685784,0)	(0.0523319,0)	(0.0390969,0)	(0.0265875,0)	
(4.23064e-05,0)	(6.1812e-05,0)	(8.17835e-05,0)	(0.000105251,0)	(0.000133824,0)	(0.000169133,0)	(0.00021307,0)	(0.000267876,0)	(0.000336571,0)	(0.000422699,0)	(0.000530737,0)	(0.000666243,0)	(0.000836154,0)	(0.00104931,0)	(0.00131649,0)	(0.00165206,0)	(0.00207325,0)	(0.00260241,0)	(0.00326807,0)	(0.00410604,0)	(0.00516145,0)	(0.00649145,0)	(0.0081698,0)	(0.0102909,0)	(0.0129771,0)	(0.0163847,0)	(0.0207199,0)	(0.026251,0)	(0.0333336,0)	(0.0424556,0)	(0.0542896,0)	(0.0697738,0)	(0.0902451,0)	(0.117684,0)	(0.155137,0)	(0.207606,0)	(0.284104,0)	(0.403271,0)	(0.610539,0)	(1.00002,0)	(0.610531,0)	(0.403216,0)	(0.28396,0)	(0.207319,0)	(0.154628,0)	(0.116825,0)	(0.0888339,0)	(0.0674305,0)	(0.0502089,0)	(0.0340844,0)	
(3.36838e-05,0)	(4.92137e-05,0)	(6.51144e-05,0)	(8.37979e-05,0)	(0.000106547,0)	(0.000134657,0)	(0.000169636,0)	(0.000213266,0)	(0.000267953,0)	(0.000336513,0)	(0.000422509,0)	(0.000530362,0)	(0.000665587,0)	(0.000835212,0)	(0.00104779,0)	(0.00131473,0)	(0.0016497,0)	(0.00207041,0)	(0.00259945,0)	(0.0032651,0)	(0.00410297,0)	(0.00515798,0)	(0.00648798,0)	(0.00816671,0)	(0.0102891,0)	(0.0129761,0)	(0.0163852,0)	(0.0207198,0)	(0.0262459,0)	(0.0333238,0)	(0.0424442,0)	(0.0542779,0)	(0.0697579,0)	(0.0902265,0)	(0.117661,0)	(0.155111,0)	(0.207579,0)	(0.28408,0)	(0.403251,0)	(0.610531,0)	(1.00004,0)	(0.610516,0)	(0.403153,0)	(0.283823,0)	(0.207061,0)	(0.154172,0)	(0.11604,0)	(0.0874632,0)	(0.0648357,0)	(0.043911,0)	
(2.6807e-05,0)	(3.91661e-05,0)	(5.18202e-05,0)	(6.66888e-05,0)	(8.47924e-05,0)	(0.000107163,0)	(0.000134998,0)	(0.000169717,0)	(0.000213233,0)	(0.000267788,0)	(0.000336213,0)	(0.000422025,0)	(0.000529606,0)	(0.000664544,0)	(0.000833629,0)	(0.00104593,0)	(0.00131228,0)	(0.00164673,0)	(0.00206716,0)	(0.00259598,0)	(0.00326129,0)	(0.0040985,0)	(0.00515311,0)	(0.00648292,0)	(0.00816207,0)	(0.0102844,0)	(0.0129714,0)	(0.0163788,0)	(0.0207076,0)	(0.0262278,0)	(0.0333027,0)	(0.0424213,0)	(0.05425,0)	(0.0697272,0)	(0.090192,0)	(0.117623,0)	(0.155071,0)	(0.207536,0)	(0.284037,0)	(0.403216,0)	(0.610516,0)	(1.00007,0)	(0.610489,0)	(0.403037,0)	(0.283565,0)	(0.206569,0)	(0.153267,0)	(0.11441,0)	(0.0842929,0)	(0.0569046,0)	
(2.13208e-05,0)	(3.11504e-05,0)	(4.12146e-05,0)	(5.304e-05,0)	(6.7438e-05,0)	(8.52293e-05,0)	(0.000107366,0)	(0.000134978,0)	(0.000169585,0)	(0.000212969,0)	(0.000267382,0)	(0.000335619,0)	(0.000421161,0)	(0.000528448,0)	(0.000662873,0)	(0.000831634,0)	(0.00104333,0)	(0.00130911,0)	(0.00164314,0)	(0.00206316,0)	(0.00259139,0)	(0.00325579,0)	(0.00409221,0)	(0.00514608,0)	(0.00647552,0)	(0.00815366,0)	(0.010275,0)	(0.0129592,0)	(0.01636,0)	(0.020682,0)	(0.0261975,0)	(0.0332688,0)	(0.0423809,0)	(0.0542053,0)	(0.0696769,0)	(0.0901348,0)	(0.117559,0)	(0.154998,0)	(0.207458,0)	(0.28396,0)	(0.403153,0)	(0.610489,0)	(1.00013,0)	(0.610439,0)	(0.402819,0)	(0.283064,0)	(0.205578,0)	(0.151362,0)	(0.110561,0)	(0.0742976,0)	
(1.69429e-05,0)	(2.47541e-05,0)	(3.27516e-05,0)	(4.21487e-05,0)	(5.359e-05,0)	(6.77276e-05,0)	(8.53184e-05,0)	(0.000107259,0)	(0.000134758,0)	(0.000169231,0)	(0.000212466,0)	(0.000266683,0)	(0.000334648,0)	(0.000419884,0)	(0.000526673,0)	(0.000660728,0)	(0.000828872,0)	(0.00103994,0)	(0.00130516,0)	(0.00163859,0)	(0.0020578,0)	(0.00258489,0)	(0.00324814,0)	(0.00408332,0)	(0.00513609,0)	(0.00646371,0)	(0.00813982,0)	(0.0102573,0)	(0.0129343,0)	(0.0163272,0)	(0.0206426,0)	(0.0261522,0)	(0.0332145,0)	(0.0423191,0)	(0.0541335,0)	(0.0695917,0)	(0.090033,0)	(0.11744,0)	(0.154865,0)	(0.207319,0)	(0.283823,0)	(0.403037,0)	(0.610439,0)	(1.00023,0)	(0.610342,0)	(0.402387,0)	(0.28204,0)	(0.20342,0)	(0.146757,0)	(0.0979846,0)	
(1.34392e-05,0)	(1.96351e-05,0)	(2.59787e-05,0)	(3.34325e-05,0)	(4.25077e-05,0)	(5.37215e-05,0)	(6.76742e-05,0)	(8.50773e-05,0)	(0.000106889,0)	(0.000134231,0)	(0.000168522,0)	(0.000211523,0)	(0.000265426,0)	(0.000333024,0)	(0.00041771,0)	(0.000524013,0)	(0.000657336,0)	(0.000824677,0)	(0.00103493,0)	(0.0012992,0)	(0.00163139,0)	(0.00204896,0)	(0.00257421,0)	(0.00323533,0)	(0.00406821,0)	(0.00511776,0)	(0.00644155,0)	(0.00811183,0)	(0.01022,0)	(0.0128865,0)	(0.0162693,0)	(0.0205742,0)	(0.0260697,0)	(0.0331181,0)	(0.0422053,0)	(0.0539976,0)	(0.0694292,0)	(0.089845,0)	(0.117226,0)	(0.154628,0)	(0.207061,0)	(0.283565,0)	(0.402819,0)	(0.610342,0)	(1.00043,0)	(0.610144,0)	(0.401481,0)	(0.279757,0)	(0.19803,0)	(0.13095,0)	
(1.06284e-05,0)	(1.55284e-05,0)	(2.05453e-05,0)	(2.64401e-05,0)	(3.36172e-05,0)	(4.24856e-05,0)	(5.35201e-05,0)	(6.72831e-05,0)	(8.45322e-05,0)	(0.000106155,0)	(0.000133273,0)	(0.000167278,0)	(0.000209904,0)	(0.000263358,0)	(0.000330322,0)	(0.000414375,0)	(0.000519787,0)	(0.000652085,0)	(0.000818291,0)	(0.00102718,0)	(0.00128971,0)	(0.00161964,0)	(0.00203456,0)	(0.00255662,0)	(0.00321405,0)	(0.00404204,0)	(0.00508564,0)	(0.00640117,0)	(0.00805957,0)	(0.0101538,0)	(0.0128055,0)	(0.0161717,0)	(0.0204554,0)	(0.0259278,0)	(0.0329477,0)	(0.0419994,0)	(0.053749,0)	(0.0691366,0)	(0.0895017,0)	(0.116825,0)	(0.154172,0)	(0.206569,0)	(0.283064,0)	(0.402387,0)	(0.610144,0)	(1.00084,0)	(0.609707,0)	(0.399383,0)	(0.27376,0)	(0.178279,0)	
(8.35712e-06,0)	(1.22101e-05,0)	(1.61549e-05,0)	(2.079e-05,0)	(2.64335e-05,0)	(3.34068e-05,0)	(4.20833e-05,0)	(5.29053e-05,0)	(6.64684e-05,0)	(8.34705e-05,0)	(0.000104793,0)	(0.000131531,0)	(0.000165047,0)	(0.000207076,0)	(0.000259726,0)	(0.000325811,0)	(0.000408685,0)	(0.000512691,0)	(0.000643345,0)	(0.000807537,0)	(0.00101387,0)	(0.00127315,0)	(0.00159915,0)	(0.00200924,0)	(0.00252551,0)	(0.00317546,0)	(0.00399424,0)	(0.00502566,0)	(0.00632476,0)	(0.00796342,0)	(0.0100352,0)	(0.0126605,0)	(0.0159936,0)	(0.0202391,0)	(0.0256647,0)	(0.0326269,0)	(0.0416089,0)	(0.0532821,0)	(0.0685784,0)	(0.0888339,0)	(0.11604,0)	(0.153267,0)	(0.205578,0)	(0.28204,0)	(0.401481,0)	(0.609707,0)	(1.0017,0)	(0.60861,0)	(0.393448,0)	(0.249473,0)	
(6.48992e-06,0)	(9.48209e-06,0)	(1.25456e-05,0)	(1.61453e-05,0)	(2.0528e-05,0)	(2.59436e-05,0)	(3.26818e-05,0)	(4.10862e-05,0)	(5.16194e-05,0)	(6.48234e-05,0)	(8.13831e-05,0)	(0.000102148,0)	(0.000128176,0)	(0.000160816,0)	(0.000201703,0)	(0.000253023,0)	(0.00031738,0)	(0.000398145,0)	(0.0004996,0)	(0.000627091,0)	(0.000787298,0)	(0.000988591,0)	(0.00124166,0)	(0.00155996,0)	(0.00196059,0)	(0.00246484,0)	(0.00309986,0)	(0.00389944,0)	(0.00490593,0)	(0.00617453,0)	(0.00777693,0)	(0.00980489,0)	(0.0123756,0)	(0.0156433,0)	(0.0198085,0)	(0.0251354,0)	(0.0319782,0)	(0.0408231,0)	(0.0523319,0)	(0.0674305,0)	(0.0874632,0)	(0.11441,0)	(0.151362,0)	(0.20342,0)	(0.279757,0)	(0.399383,0)	(0.60861,0)	(1.00372,0)	(0.604815,0)	(0.364826,0)	
