(0.984635,0)	(0.575269,0)	(0.364826,0)	(0.249474,0)	(0.17828,0)	(0.130951,0)	(0.097986,0)	(0.0742994,0)	(0.0569067,0)	(0.0439169,0)	(0.0340946,0)	(0.0265967,0)	(0.0208261,0)	(0.0163588,0)	(0.0128849,0)	(0.0101721,0)	(0.0080464,0)	(0.00637441,0)	(0.00505671,0)	(0.00401459,0)	(0.00318972,0)	(0.00253611,0)	(0.0020174,0)	(0.00160547,0)	(0.00127814,0)	(0.00101801,0)	(0.000811067,0)	(0.000646404,0)	(0.000515193,0)	(0.000410659,0)	(0.000327351,0)	(0.000260936,0)	(0.000208005,0)	(0.000165788,0)	(0.000132102,0)	(0.000105229,0)	(8.38015e-05,0)	(6.67302e-05,0)	(5.31342e-05,0)	(4.23064e-05,0)	(3.36838e-05,0)	(2.6807e-05,0)	(2.13208e-05,0)	(1.69429e-05,0)	(1.34392e-05,0)	(1.06284e-05,0)	(8.35712e-06,0)	(6.48992e-06,0)	(4.89955e-06,0)	(3.3476e-06,0)	
(0.0265967,0)	(0.0391076,0)	(0.0523418,0)	(0.0685867,0)	(0.089507,0)	(0.117224,0)	(0.154861,0)	(0.207461,0)	(0.284037,0)	(0.403251,0)	(0.610539,0)	(1.00001,0)	(0.610544,0)	(0.403283,0)	(0.284119,0)	(0.207621,0)	(0.155151,0)	(0.117697,0)	(0.090259,0)	(0.0697839,0)	(0.0542986,0)	(0.0424637,0)	(0.0333394,0)	(0.0262588,0)	(0.020735,0)	(0.0164084,0)	(0.013006,0)	(0.0103236,0)	(0.00820188,0)	(0.00652136,0)	(0.0051882,0)	(0.00412921,0)	(0.00328762,0)	(0.00261788,0)	(0.00208437,0)	(0.00165936,0)	(0.00132086,0)	(0.00105141,0)	(0.000836948,0)	(0.000666243,0)	(0.000530362,0)	(0.000422025,0)	(0.000335619,0)	(0.000266683,0)	(0.000211523,0)	(0.000167278,0)	(0.000131531,0)	(0.000102148,0)	(7.71234e-05,0)	(5.27025e-05,0)	
(0.0208261,0)	(0.0305821,0)	(0.0408288,0)	(0.0532886,0)	(0.0691455,0)	(0.0898489,0)	(0.117437,0)	(0.154998,0)	(0.207536,0)	(0.28408,0)	(0.403271,0)	(0.610544,0)	(1.00001,0)	(0.610547,0)	(0.40329,0)	(0.284128,0)	(0.20763,0)	(0.155161,0)	(0.117704,0)	(0.0902626,0)	(0.0697888,0)	(0.054305,0)	(0.0424678,0)	(0.0333434,0)	(0.0262634,0)	(0.0207417,0)	(0.0164148,0)	(0.0130129,0)	(0.0103282,0)	(0.00820553,0)	(0.00652406,0)	(0.0051899,0)	(0.00413057,0)	(0.00328813,0)	(0.00261743,0)	(0.00208336,0)	(0.00165814,0)	(0.00131974,0)	(0.00105046,0)	(0.000836154,0)	(0.000665587,0)	(0.000529606,0)	(0.000421161,0)	(0.000334648,0)	(0.000265426,0)	(0.000209904,0)	(0.000165047,0)	(0.000128176,0)	(9.67757e-05,0)	(6.6133e-05,0)	
(0.0163588,0)	(0.0239977,0)	(0.0319769,0)	(0.0416091,0)	(0.053755,0)	(0.0694341,0)	(0.0900328,0)	(0.117558,0)	(0.155072,0)	(0.20758,0)	(0.284105,0)	(0.403283,0)	(0.610547,0)	(1.00001,0)	(0.610549,0)	(0.403294,0)	(0.284133,0)	(0.207635,0)	(0.155163,0)	(0.117709,0)	(0.0902691,0)	(0.0697961,0)	(0.0543093,0)	(0.0424714,0)	(0.0333475,0)	(0.0262698,0)	(0.0207477,0)	(0.0164214,0)	(0.0130169,0)	(0.0103313,0)	(0.00820772,0)	(0.00652522,0)	(0.00519081,0)	(0.00413058,0)	(0.00328707,0)	(0.00261577,0)	(0.00208152,0)	(0.00165649,0)	(0.00131836,0)	(0.00104931,0)	(0.000835212,0)	(0.000664544,0)	(0.000528448,0)	(0.000419884,0)	(0.000333024,0)	(0.000263358,0)	(0.000207076,0)	(0.000160816,0)	(0.00012142,0)	(8.29752e-05,0)	
(0.0128849,0)	(0.0188864,0)	(0.0251288,0)	(0.0326215,0)	(0.0420011,0)	(0.0540011,0)	(0.0695926,0)	(0.0901345,0)	(0.117625,0)	(0.155113,0)	(0.207605,0)	(0.284119,0)	(0.40329,0)	(0.610549,0)	(1,0)	(0.61055,0)	(0.403296,0)	(0.284135,0)	(0.207637,0)	(0.155169,0)	(0.117714,0)	(0.0902715,0)	(0.0697945,0)	(0.0543067,0)	(0.0424694,0)	(0.0333484,0)	(0.0262707,0)	(0.02075,0)	(0.0164214,0)	(0.0130167,0)	(0.0103307,0)	(0.00820646,0)	(0.00652417,0)	(0.00518907,0)	(0.00412785,0)	(0.00328388,0)	(0.00261259,0)	(0.00207876,0)	(0.00165422,0)	(0.00131649,0)	(0.00104779,0)	(0.000833629,0)	(0.000662873,0)	(0.000526673,0)	(0.00041771,0)	(0.000330322,0)	(0.000259726,0)	(0.000201703,0)	(0.000152292,0)	(0.000104074,0)	
(0.0101721,0)	(0.0149007,0)	(0.0198027,0)	(0.0256601,0)	(0.0329502,0)	(0.0422107,0)	(0.054137,0)	(0.069677,0)	(0.0901931,0)	(0.117662,0)	(0.155138,0)	(0.207621,0)	(0.284128,0)	(0.403294,0)	(0.61055,0)	(1,0)	(0.61055,0)	(0.403298,0)	(0.284137,0)	(0.20764,0)	(0.15517,0)	(0.117715,0)	(0.0902718,0)	(0.069795,0)	(0.054308,0)	(0.0424733,0)	(0.0333515,0)	(0.026275,0)	(0.0207513,0)	(0.0164222,0)	(0.0130168,0)	(0.0103299,0)	(0.00820581,0)	(0.00652256,0)	(0.00518613,0)	(0.00412427,0)	(0.00328024,0)	(0.00260942,0)	(0.00207615,0)	(0.00165206,0)	(0.00131473,0)	(0.00104593,0)	(0.000831634,0)	(0.000660728,0)	(0.000524013,0)	(0.000414375,0)	(0.000325811,0)	(0.000253023,0)	(0.000191041,0)	(0.000130556,0)	
(0.0080464,0)	(0.0117809,0)	(0.0156423,0)	(0.0202397,0)	(0.0259354,0)	(0.0331291,0)	(0.0423283,0)	(0.0542089,0)	(0.0697288,0)	(0.0902266,0)	(0.117684,0)	(0.155151,0)	(0.20763,0)	(0.284133,0)	(0.403296,0)	(0.61055,0)	(1,0)	(0.61055,0)	(0.403298,0)	(0.284139,0)	(0.207641,0)	(0.155171,0)	(0.117716,0)	(0.0902725,0)	(0.0697955,0)	(0.0543099,0)	(0.0424738,0)	(0.0333533,0)	(0.0262736,0)	(0.0207498,0)	(0.0164203,0)	(0.0130142,0)	(0.0103278,0)	(0.00820279,0)	(0.00651812,0)	(0.00518108,0)	(0.00411929,0)	(0.00327595,0)	(0.00260589,0)	(0.00207325,0)	(0.0016497,0)	(0.00131228,0)	(0.00104333,0)	(0.000828872,0)	(0.000657336,0)	(0.000519787,0)	(0.000408685,0)	(0.00031738,0)	(0.000239633,0)	(0.000163765,0)	
(0.00637441,0)	(0.00932916,0)	(0.0123779,0)	(0.0159977,0)	(0.0204658,0)	(0.0260832,0)	(0.0332261,0)	(0.0423856,0)	(0.0542507,0)	(0.0697561,0)	(0.0902455,0)	(0.117697,0)	(0.155161,0)	(0.207635,0)	(0.284135,0)	(0.403298,0)	(0.61055,0)	(1,0)	(0.610551,0)	(0.403299,0)	(0.284139,0)	(0.207641,0)	(0.155172,0)	(0.117717,0)	(0.090273,0)	(0.0697963,0)	(0.0543088,0)	(0.042474,0)	(0.0333503,0)	(0.0262709,0)	(0.020747,0)	(0.0164169,0)	(0.0130115,0)	(0.0103241,0)	(0.00819739,0)	(0.006512,0)	(0.00517506,0)	(0.0041141,0)	(0.00327171,0)	(0.00260241,0)	(0.00207041,0)	(0.00164673,0)	(0.00130911,0)	(0.00103994,0)	(0.000824677,0)	(0.000652085,0)	(0.000512691,0)	(0.000398145,0)	(0.000300613,0)	(0.000205442,0)	
(0.00505671,0)	(0.0073983,0)	(0.00981044,0)	(0.012668,0)	(0.0161849,0)	(0.0205904,0)	(0.0261667,0)	(0.0332764,0)	(0.0424242,0)	(0.054278,0)	(0.0697764,0)	(0.090259,0)	(0.117704,0)	(0.155163,0)	(0.207637,0)	(0.284137,0)	(0.403298,0)	(0.610551,0)	(1,0)	(0.610551,0)	(0.403299,0)	(0.28414,0)	(0.207641,0)	(0.155173,0)	(0.117718,0)	(0.0902737,0)	(0.0697955,0)	(0.0543098,0)	(0.0424721,0)	(0.0333491,0)	(0.0262697,0)	(0.0207449,0)	(0.0164155,0)	(0.0130087,0)	(0.010319,0)	(0.0081912,0)	(0.00650572,0)	(0.00516964,0)	(0.00410968,0)	(0.00326807,0)	(0.00259945,0)	(0.00206716,0)	(0.00164314,0)	(0.00130516,0)	(0.00103493,0)	(0.000818291,0)	(0.000643345,0)	(0.0004996,0)	(0.000377215,0)	(0.000257797,0)	
(0.00401459,0)	(0.00587207,0)	(0.00778305,0)	(0.0100429,0)	(0.012818,0)	(0.016284,0)	(0.0206554,0)	(0.0262035,0)	(0.0333035,0)	(0.042442,0)	(0.0542903,0)	(0.0697839,0)	(0.0902626,0)	(0.117709,0)	(0.155169,0)	(0.20764,0)	(0.284139,0)	(0.403299,0)	(0.610551,0)	(1,0)	(0.610551,0)	(0.4033,0)	(0.28414,0)	(0.207641,0)	(0.155173,0)	(0.117718,0)	(0.0902732,0)	(0.069797,0)	(0.0543094,0)	(0.042473,0)	(0.0333502,0)	(0.0262696,0)	(0.0207456,0)	(0.0164143,0)	(0.0130044,0)	(0.0103131,0)	(0.00818496,0)	(0.0065003,0)	(0.00516523,0)	(0.00410604,0)	(0.0032651,0)	(0.00259598,0)	(0.00206316,0)	(0.00163859,0)	(0.0012992,0)	(0.00102718,0)	(0.000807537,0)	(0.000627091,0)	(0.000473473,0)	(0.000323588,0)	
(0.00318972,0)	(0.00466456,0)	(0.00618034,0)	(0.00797041,0)	(0.0101645,0)	(0.0128988,0)	(0.0163374,0)	(0.0206857,0)	(0.0262263,0)	(0.0333193,0)	(0.0424539,0)	(0.0542986,0)	(0.0697888,0)	(0.0902691,0)	(0.117714,0)	(0.15517,0)	(0.207641,0)	(0.284139,0)	(0.403299,0)	(0.610551,0)	(1,0)	(0.610551,0)	(0.4033,0)	(0.28414,0)	(0.207642,0)	(0.155173,0)	(0.117717,0)	(0.0902743,0)	(0.0697973,0)	(0.0543114,0)	(0.0424753,0)	(0.0333512,0)	(0.0262717,0)	(0.0207454,0)	(0.0164102,0)	(0.0129984,0)	(0.0103065,0)	(0.0081793,0)	(0.00649573,0)	(0.00516145,0)	(0.00410297,0)	(0.00326129,0)	(0.00259139,0)	(0.0020578,0)	(0.00163139,0)	(0.00128971,0)	(0.00101387,0)	(0.000787298,0)	(0.000594431,0)	(0.000406261,0)	
