(0.845197,0)	(0.780064,0)	(0.681798,0)	(0.613271,0)	(0.564191,0)	(0.527724,0)	(0.49885,0)	(0.4752,0)	(0.455366,0)	(0.438338,0)	(0.423415,0)	(0.410248,0)	(0.398434,0)	(0.38776,0)	(0.378022,0)	(0.369056,0)	(0.360723,0)	(0.352868,0)	(0.345506,0)	(0.33849,0)	(0.331772,0)	(0.325323,0)	(0.319126,0)	(0.313136,0)	(0.307317,0)	(0.30162,0)	(0.296082,0)	(0.290651,0)	(0.285378,0)	(0.280216,0)	(0.275149,0)	(0.270167,0)	(0.265275,0)	(0.260469,0)	(0.25572,0)	(0.251044,0)	(0.246396,0)	(0.241764,0)	(0.237138,0)	(0.232485,0)	(0.227802,0)	(0.223064,0)	(0.218192,0)	(0.213101,0)	(0.20769,0)	(0.20177,0)	(0.195014,0)	(0.186737,0)	(0.174713,0)	(0.145956,0)	
(0.780064,0)	(1.00128,0)	(0.865674,0)	(0.76158,0)	(0.691601,0)	(0.642201,0)	(0.604428,0)	(0.574176,0)	(0.549176,0)	(0.527936,0)	(0.509471,0)	(0.493269,0)	(0.478798,0)	(0.465769,0)	(0.453918,0)	(0.443034,0)	(0.432938,0)	(0.423441,0)	(0.414555,0)	(0.406096,0)	(0.398006,0)	(0.390249,0)	(0.382799,0)	(0.375604,0)	(0.368617,0)	(0.36178,0)	(0.355135,0)	(0.34862,0)	(0.342295,0)	(0.336105,0)	(0.330029,0)	(0.324055,0)	(0.318189,0)	(0.312427,0)	(0.306732,0)	(0.301126,0)	(0.295553,0)	(0.289998,0)	(0.284451,0)	(0.278873,0)	(0.273257,0)	(0.267575,0)	(0.261733,0)	(0.255627,0)	(0.249137,0)	(0.242038,0)	(0.233934,0)	(0.224006,0)	(0.209584,0)	(0.175088,0)	
(0.681798,0)	(0.865674,0)	(1.01215,0)	(0.875318,0)	(0.774164,0)	(0.707671,0)	(0.660027,0)	(0.623501,0)	(0.594167,0)	(0.569737,0)	(0.548809,0)	(0.530634,0)	(0.514536,0)	(0.500135,0)	(0.487103,0)	(0.475185,0)	(0.464174,0)	(0.45385,0)	(0.444214,0)	(0.435066,0)	(0.426334,0)	(0.417975,0)	(0.409958,0)	(0.402224,0)	(0.39472,0)	(0.387383,0)	(0.380257,0)	(0.373274,0)	(0.366496,0)	(0.359865,0)	(0.353357,0)	(0.346959,0)	(0.340678,0)	(0.334509,0)	(0.328412,0)	(0.32241,0)	(0.316445,0)	(0.310499,0)	(0.304561,0)	(0.298589,0)	(0.292577,0)	(0.286494,0)	(0.28024,0)	(0.273704,0)	(0.266756,0)	(0.259156,0)	(0.25048,0)	(0.239851,0)	(0.224409,0)	(0.187474,0)	
(0.613271,0)	(0.76158,0)	(0.875318,0)	(1.01208,0)	(0.876463,0)	(0.778375,0)	(0.713582,0)	(0.667325,0)	(0.631934,0)	(0.603414,0)	(0.57955,0)	(0.55916,0)	(0.541328,0)	(0.525528,0)	(0.511339,0)	(0.498447,0)	(0.4866,0)	(0.475548,0)	(0.465273,0)	(0.455551,0)	(0.4463,0)	(0.437465,0)	(0.429009,0)	(0.420866,0)	(0.412975,0)	(0.40527,0)	(0.397792,0)	(0.39047,0)	(0.383367,0)	(0.376421,0)	(0.369607,0)	(0.36291,0)	(0.356336,0)	(0.349881,0)	(0.343503,0)	(0.337224,0)	(0.330984,0)	(0.324764,0)	(0.318554,0)	(0.312308,0)	(0.306021,0)	(0.299659,0)	(0.293118,0)	(0.286282,0)	(0.279015,0)	(0.271066,0)	(0.261993,0)	(0.250875,0)	(0.234724,0)	(0.196092,0)	
(0.564191,0)	(0.691601,0)	(0.774164,0)	(0.876463,0)	(1.01044,0)	(0.877203,0)	(0.780337,0)	(0.716555,0)	(0.671193,0)	(0.636477,0)	(0.608459,0)	(0.585109,0)	(0.565069,0)	(0.54756,0)	(0.532009,0)	(0.518009,0)	(0.505242,0)	(0.493414,0)	(0.482475,0)	(0.472179,0)	(0.462422,0)	(0.453136,0)	(0.444274,0)	(0.43576,0)	(0.427528,0)	(0.419503,0)	(0.411724,0)	(0.404117,0)	(0.396743,0)	(0.389537,0)	(0.382471,0)	(0.375531,0)	(0.368721,0)	(0.362035,0)	(0.355431,0)	(0.34893,0)	(0.342471,0)	(0.336034,0)	(0.329606,0)	(0.323143,0)	(0.316637,0)	(0.310054,0)	(0.303286,0)	(0.296213,0)	(0.288694,0)	(0.28047,0)	(0.271082,0)	(0.259579,0)	(0.242868,0)	(0.202895,0)	
(0.527724,0)	(0.642201,0)	(0.707671,0)	(0.778375,0)	(0.877203,0)	(1.01038,0)	(0.877796,0)	(0.781664,0)	(0.718594,0)	(0.673782,0)	(0.639485,0)	(0.611925,0)	(0.588895,0)	(0.569163,0)	(0.551897,0)	(0.536539,0)	(0.522672,0)	(0.50994,0)	(0.498247,0)	(0.487312,0)	(0.477005,0)	(0.467241,0)	(0.457957,0)	(0.449066,0)	(0.440493,0)	(0.432154,0)	(0.424087,0)	(0.416208,0)	(0.40858,0)	(0.401133,0)	(0.393837,0)	(0.386674,0)	(0.379649,0)	(0.372755,0)	(0.365948,0)	(0.359249,0)	(0.352594,0)	(0.345963,0)	(0.339343,0)	(0.332687,0)	(0.325987,0)	(0.319208,0)	(0.31224,0)	(0.304958,0)	(0.297216,0)	(0.288749,0)	(0.279083,0)	(0.267241,0)	(0.250037,0)	(0.208885,0)	
(0.49885,0)	(0.604428,0)	(0.660027,0)	(0.713582,0)	(0.780337,0)	(0.877796,0)	(1.01028,0)	(0.878076,0)	(0.782483,0)	(0.719851,0)	(0.675382,0)	(0.64149,0)	(0.614218,0)	(0.591477,0)	(0.571976,0)	(0.554901,0)	(0.539679,0)	(0.525858,0)	(0.513274,0)	(0.5016,0)	(0.490671,0)	(0.480376,0)	(0.470634,0)	(0.461342,0)	(0.452412,0)	(0.443753,0)	(0.435394,0)	(0.427246,0)	(0.419369,0)	(0.411689,0)	(0.404172,0)	(0.396799,0)	(0.389572,0)	(0.382484,0)	(0.375488,0)	(0.368606,0)	(0.361771,0)	(0.354962,0)	(0.348166,0)	(0.341333,0)	(0.334456,0)	(0.3275,0)	(0.320349,0)	(0.312876,0)	(0.304933,0)	(0.296245,0)	(0.286328,0)	(0.274179,0)	(0.256528,0)	(0.214307,0)	
(0.4752,0)	(0.574176,0)	(0.623501,0)	(0.667325,0)	(0.716555,0)	(0.781664,0)	(0.878076,0)	(1.01011,0)	(0.878223,0)	(0.78295,0)	(0.720582,0)	(0.676465,0)	(0.642823,0)	(0.615816,0)	(0.593287,0)	(0.573967,0)	(0.557023,0)	(0.541849,0)	(0.528181,0)	(0.515624,0)	(0.503964,0)	(0.493058,0)	(0.482797,0)	(0.47306,0)	(0.463742,0)	(0.454738,0)	(0.446072,0)	(0.437647,0)	(0.429516,0)	(0.421601,0)	(0.413865,0)	(0.406284,0)	(0.398861,0)	(0.391585,0)	(0.384407,0)	(0.377349,0)	(0.370342,0)	(0.363364,0)	(0.356401,0)	(0.349402,0)	(0.342359,0)	(0.335235,0)	(0.327913,0)	(0.320262,0)	(0.31213,0)	(0.303236,0)	(0.293084,0)	(0.280647,0)	(0.262579,0)	(0.219362,0)	
(0.455366,0)	(0.549176,0)	(0.594167,0)	(0.631934,0)	(0.671193,0)	(0.718594,0)	(0.782483,0)	(0.878223,0)	(1.01001,0)	(0.878304,0)	(0.78323,0)	(0.721155,0)	(0.677241,0)	(0.643832,0)	(0.617013,0)	(0.594649,0)	(0.57545,0)	(0.558551,0)	(0.543527,0)	(0.529888,0)	(0.517348,0)	(0.505717,0)	(0.494851,0)	(0.484602,0)	(0.474846,0)	(0.465461,0)	(0.45646,0)	(0.447736,0)	(0.439336,0)	(0.431176,0)	(0.423213,0)	(0.415421,0)	(0.407799,0)	(0.400334,0)	(0.392976,0)	(0.385745,0)	(0.378569,0)	(0.371426,0)	(0.3643,0)	(0.357139,0)	(0.349935,0)	(0.342649,0)	(0.335162,0)	(0.327339,0)	(0.319026,0)	(0.309933,0)	(0.299556,0)	(0.286844,0)	(0.268376,0)	(0.224205,0)	
(0.438338,0)	(0.527936,0)	(0.569737,0)	(0.603414,0)	(0.636477,0)	(0.673782,0)	(0.719851,0)	(0.78295,0)	(0.878304,0)	(1.00987,0)	(0.87829,0)	(0.783429,0)	(0.721511,0)	(0.677801,0)	(0.644557,0)	(0.617886,0)	(0.59563,0)	(0.576471,0)	(0.559717,0)	(0.544724,0)	(0.531102,0)	(0.518594,0)	(0.507007,0)	(0.496157,0)	(0.485894,0)	(0.476076,0)	(0.466701,0)	(0.457648,0)	(0.448957,0)	(0.440534,0)	(0.432333,0)	(0.42432,0)	(0.416493,0)	(0.408836,0)	(0.401295,0)	(0.393889,0)	(0.386545,0)	(0.379238,0)	(0.371951,0)	(0.364631,0)	(0.357269,0)	(0.349825,0)	(0.342177,0)	(0.334187,0)	(0.325696,0)	(0.316412,0)	(0.305816,0)	(0.292836,0)	(0.273982,0)	(0.228887,0)	
(0.423415,0)	(0.509471,0)	(0.548809,0)	(0.57955,0)	(0.608459,0)	(0.639485,0)	(0.675382,0)	(0.720582,0)	(0.78323,0)	(0.87829,0)	(1.00968,0)	(0.878234,0)	(0.783514,0)	(0.721772,0)	(0.678199,0)	(0.645083,0)	(0.618505,0)	(0.596283,0)	(0.577259,0)	(0.560535,0)	(0.545557,0)	(0.531968,0)	(0.519505,0)	(0.507938,0)	(0.497077,0)	(0.486757,0)	(0.476953,0)	(0.467529,0)	(0.458515,0)	(0.449806,0)	(0.441347,0)	(0.4331,0)	(0.425057,0)	(0.4172,0)	(0.40947,0)	(0.401887,0)	(0.394371,0)	(0.386899,0)	(0.379451,0)	(0.371972,0)	(0.364453,0)	(0.356852,0)	(0.349044,0)	(0.340889,0)	(0.332225,0)	(0.322751,0)	(0.311941,0)	(0.2987,0)	(0.279466,0)	(0.233468,0)	
(0.410248,0)	(0.493269,0)	(0.530634,0)	(0.55916,0)	(0.585109,0)	(0.611925,0)	(0.64149,0)	(0.676465,0)	(0.721155,0)	(0.783429,0)	(0.878234,0)	(1.0095,0)	(0.878165,0)	(0.783572,0)	(0.721938,0)	(0.678477,0)	(0.645444,0)	(0.618896,0)	(0.5968,0)	(0.577806,0)	(0.561093,0)	(0.546149,0)	(0.532605,0)	(0.520165,0)	(0.508589,0)	(0.497674,0)	(0.487372,0)	(0.477522,0)	(0.468142,0)	(0.459113,0)	(0.45037,0)	(0.441869,0)	(0.433594,0)	(0.425525,0)	(0.417597,0)	(0.409828,0)	(0.402136,0)	(0.394494,0)	(0.386882,0)	(0.379243,0)	(0.371565,0)	(0.363807,0)	(0.355839,0)	(0.34752,0)	(0.338682,0)	(0.32902,0)	(0.317997,0)	(0.304496,0)	(0.284888,0)	(0.237996,0)	
(0.398434,0)	(0.478798,0)	(0.514536,0)	(0.541328,0)	(0.565069,0)	(0.588895,0)	(0.614218,0)	(0.642823,0)	(0.677241,0)	(0.721511,0)	(0.783514,0)	(0.878165,0)	(1.00932,0)	(0.878082,0)	(0.783589,0)	(0.722055,0)	(0.678665,0)	(0.645654,0)	(0.619219,0)	(0.59715,0)	(0.578162,0)	(0.561481,0)	(0.54658,0)	(0.53306,0)	(0.520611,0)	(0.508982,0)	(0.498088,0)	(0.487742,0)	(0.477939,0)	(0.468546,0)	(0.459485,0)	(0.450702,0)	(0.442175,0)	(0.433876,0)	(0.425737,0)	(0.417772,0)	(0.409896,0)	(0.402078,0)	(0.394297,0)	(0.386493,0)	(0.378654,0)	(0.370736,0)	(0.362607,0)	(0.354122,0)	(0.34511,0)	(0.335261,0)	(0.324025,0)	(0.310265,0)	(0.290284,0)	(0.242502,0)	
