(0.330809,0)	(0.617253,0)	(0.836408,0)	(0.986824,0)	(1.08251,0)	(1.13385,0)	(1.15524,0)	(1.15814,0)	(1.15262,0)	(1.14255,0)	(1.1297,0)	(1.11451,0)	(1.09697,0)	(1.0776,0)	(1.05737,0)	(1.03734,0)	(1.01654,0)	(0.997056,0)	(0.977736,0)	(0.958134,0)	(0.938371,0)	(0.918667,0)	(0.898938,0)	(0.879686,0)	(0.860857,0)	(0.842478,0)	(0.824329,0)	(0.806155,0)	(0.788527,0)	(0.771382,0)	(0.754557,0)	(0.738072,0)	(0.722065,0)	(0.70636,0)	(0.691384,0)	(0.677115,0)	(0.664142,0)	(0.652223,0)	(0.642222,0)	(0.634748,0)	(0.630593,0)	(0.628822,0)	(0.629046,0)	(0.629713,0)	(0.628002,0)	(0.616657,0)	(0.585733,0)	(0.51866,0)	(0.392008,0)	(0.214857,0)	
(0.322362,0)	(0.601489,0)	(0.815048,0)	(0.961692,0)	(1.05513,0)	(1.10554,0)	(1.12695,0)	(1.1306,0)	(1.12648,0)	(1.11844,0)	(1.10844,0)	(1.09697,0)	(1.08443,0)	(1.06895,0)	(1.05185,0)	(1.03423,0)	(1.01526,0)	(0.997098,0)	(0.97871,0)	(0.959734,0)	(0.940372,0)	(0.920909,0)	(0.901311,0)	(0.882117,0)	(0.8633,0)	(0.844905,0)	(0.826723,0)	(0.808507,0)	(0.790833,0)	(0.773641,0)	(0.756767,0)	(0.740234,0)	(0.724181,0)	(0.708429,0)	(0.693409,0)	(0.679098,0)	(0.666087,0)	(0.654134,0)	(0.644103,0)	(0.636607,0)	(0.63244,0)	(0.630664,0)	(0.630888,0)	(0.631557,0)	(0.629841,0)	(0.618463,0)	(0.587449,0)	(0.520179,0)	(0.393156,0)	(0.215486,0)	
(0.314168,0)	(0.586197,0)	(0.794329,0)	(0.937294,0)	(1.0285,0)	(1.0779,0)	(1.09919,0)	(1.10338,0)	(1.10031,0)	(1.09385,0)	(1.08607,0)	(1.0776,0)	(1.06895,0)	(1.05852,0)	(1.04546,0)	(1.03108,0)	(1.01463,0)	(0.998318,0)	(0.981269,0)	(0.963212,0)	(0.944443,0)	(0.925342,0)	(0.905938,0)	(0.886822,0)	(0.868013,0)	(0.849579,0)	(0.831333,0)	(0.813034,0)	(0.795271,0)	(0.777988,0)	(0.761022,0)	(0.744397,0)	(0.728253,0)	(0.712413,0)	(0.697309,0)	(0.682917,0)	(0.669833,0)	(0.657812,0)	(0.647724,0)	(0.640187,0)	(0.635996,0)	(0.63421,0)	(0.634436,0)	(0.635109,0)	(0.633382,0)	(0.621941,0)	(0.590752,0)	(0.523104,0)	(0.395367,0)	(0.216698,0)	
(0.306369,0)	(0.571643,0)	(0.774609,0)	(0.91406,0)	(1.00311,0)	(1.05148,0)	(1.07254,0)	(1.07709,0)	(1.0748,0)	(1.06956,0)	(1.0635,0)	(1.05737,0)	(1.05185,0)	(1.04546,0)	(1.03765,0)	(1.02752,0)	(1.01452,0)	(1.00083,0)	(0.985759,0)	(0.969097,0)	(0.951261,0)	(0.932745,0)	(0.913666,0)	(0.894692,0)	(0.875908,0)	(0.85742,0)	(0.839072,0)	(0.820641,0)	(0.802733,0)	(0.785299,0)	(0.768179,0)	(0.7514,0)	(0.735105,0)	(0.719117,0)	(0.70387,0)	(0.689343,0)	(0.676135,0)	(0.664001,0)	(0.653819,0)	(0.64621,0)	(0.64198,0)	(0.640177,0)	(0.640405,0)	(0.641084,0)	(0.639341,0)	(0.627792,0)	(0.59631,0)	(0.528026,0)	(0.399086,0)	(0.218737,0)	
(0.299148,0)	(0.558169,0)	(0.756351,0)	(0.89254,0)	(0.979565,0)	(1.02694,0)	(1.04771,0)	(1.05248,0)	(1.05077,0)	(1.04642,0)	(1.04166,0)	(1.03734,0)	(1.03423,0)	(1.03108,0)	(1.02752,0)	(1.02273,0)	(1.01406,0)	(1.00381,0)	(0.991355,0)	(0.976617,0)	(0.960106,0)	(0.94245,0)	(0.923872,0)	(0.905139,0)	(0.886425,0)	(0.867891,0)	(0.849424,0)	(0.830827,0)	(0.812732,0)	(0.795099,0)	(0.777775,0)	(0.760791,0)	(0.744295,0)	(0.728107,0)	(0.71267,0)	(0.697961,0)	(0.684588,0)	(0.672302,0)	(0.661992,0)	(0.654289,0)	(0.650005,0)	(0.64818,0)	(0.648411,0)	(0.649098,0)	(0.647334,0)	(0.63564,0)	(0.603764,0)	(0.534627,0)	(0.404076,0)	(0.221471,0)	
(0.292134,0)	(0.54508,0)	(0.738616,0)	(0.871629,0)	(0.956663,0)	(1.00302,0)	(1.02345,0)	(1.02834,0)	(1.02703,0)	(1.02334,0)	(1.01953,0)	(1.01654,0)	(1.01526,0)	(1.01463,0)	(1.01452,0)	(1.01406,0)	(1.01092,0)	(1.00509,0)	(0.996213,0)	(0.984214,0)	(0.969703,0)	(0.95342,0)	(0.935712,0)	(0.917464,0)	(0.898972,0)	(0.880475,0)	(0.861923,0)	(0.843163,0)	(0.824864,0)	(0.807004,0)	(0.78944,0)	(0.772211,0)	(0.755473,0)	(0.739044,0)	(0.723376,0)	(0.708446,0)	(0.694872,0)	(0.682402,0)	(0.671937,0)	(0.664117,0)	(0.659769,0)	(0.657917,0)	(0.65815,0)	(0.658849,0)	(0.657058,0)	(0.645188,0)	(0.612834,0)	(0.542658,0)	(0.410145,0)	(0.224798,0)	
(0.285831,0)	(0.53332,0)	(0.722681,0)	(0.852835,0)	(0.936067,0)	(0.981486,0)	(1.00157,0)	(1.00651,0)	(1.00548,0)	(1.00224,0)	(0.999107,0)	(0.997056,0)	(0.997098,0)	(0.998318,0)	(1.00083,0)	(1.00381,0)	(1.00509,0)	(1.00467,0)	(1.00022,0)	(0.991783,0)	(0.97998,0)	(0.965657,0)	(0.949262,0)	(0.931812,0)	(0.91375,0)	(0.895413,0)	(0.876839,0)	(0.857936,0)	(0.839426,0)	(0.821313,0)	(0.803472,0)	(0.785956,0)	(0.768929,0)	(0.752213,0)	(0.736268,0)	(0.721073,0)	(0.707257,0)	(0.694564,0)	(0.683913,0)	(0.675954,0)	(0.671528,0)	(0.669642,0)	(0.66988,0)	(0.670591,0)	(0.668768,0)	(0.656687,0)	(0.623756,0)	(0.552329,0)	(0.417455,0)	(0.228804,0)	
(0.279805,0)	(0.522076,0)	(0.707445,0)	(0.834862,0)	(0.916361,0)	(0.960864,0)	(0.980589,0)	(0.985532,0)	(0.984683,0)	(0.981781,0)	(0.979123,0)	(0.977736,0)	(0.97871,0)	(0.981269,0)	(0.985759,0)	(0.991355,0)	(0.996213,0)	(1.00022,0)	(1.0013,0)	(0.997383,0)	(0.989216,0)	(0.977648,0)	(0.963218,0)	(0.947059,0)	(0.929783,0)	(0.911845,0)	(0.893398,0)	(0.874435,0)	(0.855753,0)	(0.837397,0)	(0.819269,0)	(0.801444,0)	(0.784102,0)	(0.767065,0)	(0.75081,0)	(0.735317,0)	(0.721229,0)	(0.708286,0)	(0.697424,0)	(0.689308,0)	(0.684794,0)	(0.682871,0)	(0.683114,0)	(0.683838,0)	(0.681979,0)	(0.66966,0)	(0.636078,0)	(0.56324,0)	(0.425702,0)	(0.233324,0)	
(0.273871,0)	(0.511004,0)	(0.692443,0)	(0.817162,0)	(0.896947,0)	(0.940533,0)	(0.95988,0)	(0.964785,0)	(0.964063,0)	(0.961394,0)	(0.959069,0)	(0.958134,0)	(0.959734,0)	(0.963212,0)	(0.969097,0)	(0.976617,0)	(0.984214,0)	(0.991783,0)	(0.997383,0)	(0.99913,0)	(0.995605,0)	(0.987752,0)	(0.9761,0)	(0.961896,0)	(0.945911,0)	(0.928737,0)	(0.910664,0)	(0.891802,0)	(0.873046,0)	(0.854498,0)	(0.836107,0)	(0.817977,0)	(0.800312,0)	(0.782941,0)	(0.766359,0)	(0.75055,0)	(0.736172,0)	(0.722962,0)	(0.711874,0)	(0.70359,0)	(0.698983,0)	(0.69702,0)	(0.697267,0)	(0.698007,0)	(0.696109,0)	(0.683534,0)	(0.649257,0)	(0.57491,0)	(0.434522,0)	(0.238158,0)	
(0.268015,0)	(0.500077,0)	(0.677636,0)	(0.799691,0)	(0.877779,0)	(0.920448,0)	(0.939407,0)	(0.944249,0)	(0.94361,0)	(0.941107,0)	(0.93901,0)	(0.938371,0)	(0.940372,0)	(0.944443,0)	(0.951261,0)	(0.960106,0)	(0.969703,0)	(0.97998,0)	(0.989216,0)	(0.995605,0)	(0.99782,0)	(0.994664,0)	(0.986736,0)	(0.97529,0)	(0.961265,0)	(0.945366,0)	(0.928041,0)	(0.90954,0)	(0.890882,0)	(0.872251,0)	(0.853657,0)	(0.835255,0)	(0.817279,0)	(0.799576,0)	(0.78266,0)	(0.766524,0)	(0.751845,0)	(0.738355,0)	(0.727033,0)	(0.718572,0)	(0.713867,0)	(0.711862,0)	(0.712115,0)	(0.71287,0)	(0.710932,0)	(0.698089,0)	(0.663081,0)	(0.587151,0)	(0.443774,0)	(0.24323,0)	
