(0.996794,0)	(0.414255,0)	(0.191305,0)	(0.0958161,0)	(0.0502142,0)	(0.0270503,0)	(0.0148377,0)	(0.00824008,0)	(0.00461536,0)	(0.00260036,0)	(0.00147093,0)	(0.000834275,0)	(0.000474014,0)	(0.000269636,0)	(0.000153494,0)	(8.74217e-05,0)	(4.98065e-05,0)	(2.83818e-05,0)	(1.61752e-05,0)	(9.21927e-06,0)	(5.25492e-06,0)	(2.99537e-06,0)	(1.70745e-06,0)	(9.73307e-07,0)	(5.54827e-07,0)	(3.16279e-07,0)	(1.80295e-07,0)	(1.02777e-07,0)	(5.85888e-08,0)	(3.33987e-08,0)	(1.90391e-08,0)	(1.08533e-08,0)	(6.18698e-09,0)	(3.5269e-09,0)	(2.01051e-09,0)	(1.14609e-09,0)	(6.53327e-10,0)	(3.7243e-10,0)	(2.12304e-10,0)	(1.21025e-10,0)	(6.89902e-11,0)	(3.93277e-11,0)	(2.24187e-11,0)	(1.27795e-11,0)	(7.28435e-12,0)	(4.15115e-12,0)	(2.36378e-12,0)	(1.34218e-12,0)	(7.53315e-13,0)	(3.9533e-13,0)	
(0.000834275,0)	(0.00159356,0)	(0.00285456,0)	(0.00507279,0)	(0.00903542,0)	(0.0162025,0)	(0.0293731,0)	(0.0541305,0)	(0.102287,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102288,0)	(0.0541308,0)	(0.0293737,0)	(0.0162039,0)	(0.00903841,0)	(0.00507926,0)	(0.00286855,0)	(0.00162535,0)	(0.000922924,0)	(0.000524797,0)	(0.000298683,0)	(0.000170094,0)	(9.69007e-05,0)	(5.52169e-05,0)	(3.14692e-05,0)	(1.79366e-05,0)	(1.0224e-05,0)	(5.82798e-06,0)	(3.32221e-06,0)	(1.89382e-06,0)	(1.07958e-06,0)	(6.15417e-07,0)	(3.5082e-07,0)	(1.99987e-07,0)	(1.14004e-07,0)	(6.49889e-08,0)	(3.70473e-08,0)	(2.11189e-08,0)	(1.20388e-08,0)	(6.86265e-09,0)	(3.91174e-09,0)	(2.2292e-09,0)	(1.26938e-09,0)	(7.20771e-10,0)	(4.04542e-10,0)	(2.123e-10,0)	
(0.000474014,0)	(0.000904534,0)	(0.00161715,0)	(0.00286469,0)	(0.00507742,0)	(0.00903753,0)	(0.0162035,0)	(0.0293735,0)	(0.0541307,0)	(0.102287,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102288,0)	(0.0541308,0)	(0.0293737,0)	(0.0162039,0)	(0.00903842,0)	(0.00507925,0)	(0.00286855,0)	(0.00162536,0)	(0.000922929,0)	(0.000524801,0)	(0.000298688,0)	(0.000170095,0)	(9.6902e-05,0)	(5.52178e-05,0)	(3.14696e-05,0)	(1.79368e-05,0)	(1.02241e-05,0)	(5.82807e-06,0)	(3.32224e-06,0)	(1.89384e-06,0)	(1.07958e-06,0)	(6.15418e-07,0)	(3.50823e-07,0)	(1.99989e-07,0)	(1.14005e-07,0)	(6.49895e-08,0)	(3.70474e-08,0)	(2.11189e-08,0)	(1.20387e-08,0)	(6.86212e-09,0)	(3.91055e-09,0)	(2.22679e-09,0)	(1.26441e-09,0)	(7.09665e-10,0)	(3.72427e-10,0)	
(0.000269636,0)	(0.000514212,0)	(0.000918162,0)	(0.00162309,0)	(0.00286747,0)	(0.00507875,0)	(0.00903819,0)	(0.0162038,0)	(0.0293737,0)	(0.0541308,0)	(0.102288,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102288,0)	(0.0541308,0)	(0.0293737,0)	(0.0162039,0)	(0.00903841,0)	(0.00507926,0)	(0.00286857,0)	(0.00162537,0)	(0.000922936,0)	(0.000524808,0)	(0.00029869,0)	(0.000170097,0)	(9.69035e-05,0)	(5.52185e-05,0)	(3.147e-05,0)	(1.79371e-05,0)	(1.02243e-05,0)	(5.82813e-06,0)	(3.32226e-06,0)	(1.89385e-06,0)	(1.07958e-06,0)	(6.15423e-07,0)	(3.50827e-07,0)	(1.99991e-07,0)	(1.14006e-07,0)	(6.49896e-08,0)	(3.70475e-08,0)	(2.11187e-08,0)	(1.20378e-08,0)	(6.86003e-09,0)	(3.90632e-09,0)	(2.21807e-09,0)	(1.24492e-09,0)	(6.53327e-10,0)	
(0.000153494,0)	(0.000292609,0)	(0.000522049,0)	(0.000921607,0)	(0.00162472,0)	(0.00286826,0)	(0.00507914,0)	(0.00903838,0)	(0.0162039,0)	(0.0293737,0)	(0.0541308,0)	(0.102288,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102288,0)	(0.0541308,0)	(0.0293737,0)	(0.0162039,0)	(0.00903841,0)	(0.00507928,0)	(0.00286858,0)	(0.00162538,0)	(0.000922945,0)	(0.000524811,0)	(0.000298693,0)	(0.0001701,0)	(9.69043e-05,0)	(5.5219e-05,0)	(3.14703e-05,0)	(1.79372e-05,0)	(1.02244e-05,0)	(5.82815e-06,0)	(3.32227e-06,0)	(1.89384e-06,0)	(1.07959e-06,0)	(6.15427e-07,0)	(3.50829e-07,0)	(1.99992e-07,0)	(1.14006e-07,0)	(6.49896e-08,0)	(3.70469e-08,0)	(2.1117e-08,0)	(1.20341e-08,0)	(6.85258e-09,0)	(3.891e-09,0)	(2.18388e-09,0)	(1.14609e-09,0)	
(8.74217e-05,0)	(0.000166614,0)	(0.000297104,0)	(0.000524037,0)	(0.00092256,0)	(0.00162519,0)	(0.0028685,0)	(0.00507926,0)	(0.00903842,0)	(0.0162039,0)	(0.0293737,0)	(0.0541308,0)	(0.102288,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102288,0)	(0.0541308,0)	(0.0293737,0)	(0.0162039,0)	(0.00903845,0)	(0.00507929,0)	(0.00286859,0)	(0.00162539,0)	(0.000922949,0)	(0.000524815,0)	(0.000298696,0)	(0.000170101,0)	(9.69051e-05,0)	(5.52194e-05,0)	(3.14705e-05,0)	(1.79373e-05,0)	(1.02244e-05,0)	(5.82815e-06,0)	(3.32226e-06,0)	(1.89385e-06,0)	(1.0796e-06,0)	(6.1543e-07,0)	(3.5083e-07,0)	(1.99992e-07,0)	(1.14006e-07,0)	(6.49883e-08,0)	(3.70438e-08,0)	(2.11104e-08,0)	(1.2021e-08,0)	(6.8257e-09,0)	(3.83103e-09,0)	(2.01051e-09,0)	
(4.98065e-05,0)	(9.49109e-05,0)	(0.000169188,0)	(0.000298248,0)	(0.000524589,0)	(0.000922835,0)	(0.00162534,0)	(0.00286857,0)	(0.00507929,0)	(0.00903844,0)	(0.0162039,0)	(0.0293737,0)	(0.0541308,0)	(0.102288,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102288,0)	(0.0541308,0)	(0.0293737,0)	(0.0162039,0)	(0.00903845,0)	(0.0050793,0)	(0.0028686,0)	(0.00162539,0)	(0.000922953,0)	(0.000524819,0)	(0.000298697,0)	(0.000170101,0)	(9.69054e-05,0)	(5.52196e-05,0)	(3.14706e-05,0)	(1.79373e-05,0)	(1.02243e-05,0)	(5.8281e-06,0)	(3.32225e-06,0)	(1.89385e-06,0)	(1.07959e-06,0)	(6.15429e-07,0)	(3.50827e-07,0)	(1.9999e-07,0)	(1.14003e-07,0)	(6.49827e-08,0)	(3.70322e-08,0)	(2.10874e-08,0)	(1.19738e-08,0)	(6.72047e-09,0)	(3.52688e-09,0)	
(2.83818e-05,0)	(5.40797e-05,0)	(9.63819e-05,0)	(0.000169842,0)	(0.000298564,0)	(0.000524746,0)	(0.000922916,0)	(0.00162537,0)	(0.00286858,0)	(0.00507928,0)	(0.00903844,0)	(0.0162039,0)	(0.0293737,0)	(0.0541308,0)	(0.102288,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102288,0)	(0.0541308,0)	(0.0293737,0)	(0.0162039,0)	(0.00903843,0)	(0.00507931,0)	(0.0028686,0)	(0.00162539,0)	(0.000922956,0)	(0.000524818,0)	(0.000298697,0)	(0.000170101,0)	(9.69054e-05,0)	(5.52194e-05,0)	(3.14703e-05,0)	(1.79371e-05,0)	(1.02242e-05,0)	(5.82807e-06,0)	(3.32224e-06,0)	(1.89384e-06,0)	(1.07959e-06,0)	(6.15422e-07,0)	(3.50823e-07,0)	(1.99985e-07,0)	(1.13993e-07,0)	(6.4962e-08,0)	(3.69916e-08,0)	(2.10045e-08,0)	(1.17891e-08,0)	(6.18692e-09,0)	
(1.61752e-05,0)	(3.08195e-05,0)	(5.49198e-05,0)	(9.67564e-05,0)	(0.000170023,0)	(0.000298653,0)	(0.000524791,0)	(0.000922934,0)	(0.00162537,0)	(0.00286857,0)	(0.00507928,0)	(0.00903841,0)	(0.0162039,0)	(0.0293737,0)	(0.0541308,0)	(0.102288,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102288,0)	(0.0541308,0)	(0.0293737,0)	(0.0162039,0)	(0.00903846,0)	(0.0050793,0)	(0.0028686,0)	(0.0016254,0)	(0.000922955,0)	(0.000524818,0)	(0.000298697,0)	(0.000170101,0)	(9.69051e-05,0)	(5.52191e-05,0)	(3.14701e-05,0)	(1.79369e-05,0)	(1.02241e-05,0)	(5.82805e-06,0)	(3.32223e-06,0)	(1.89383e-06,0)	(1.07958e-06,0)	(6.15416e-07,0)	(3.50814e-07,0)	(1.99967e-07,0)	(1.13957e-07,0)	(6.48908e-08,0)	(3.68462e-08,0)	(2.06806e-08,0)	(1.08532e-08,0)	
(9.21927e-06,0)	(1.75656e-05,0)	(3.12991e-05,0)	(5.51338e-05,0)	(9.68599e-05,0)	(0.000170075,0)	(0.000298679,0)	(0.000524801,0)	(0.000922934,0)	(0.00162537,0)	(0.00286857,0)	(0.00507926,0)	(0.00903842,0)	(0.0162039,0)	(0.0293737,0)	(0.0541308,0)	(0.102288,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102288,0)	(0.0541308,0)	(0.0293737,0)	(0.0162039,0)	(0.00903845,0)	(0.00507931,0)	(0.00286861,0)	(0.0016254,0)	(0.000922957,0)	(0.000524818,0)	(0.000298697,0)	(0.000170101,0)	(9.69046e-05,0)	(5.52188e-05,0)	(3.14698e-05,0)	(1.79368e-05,0)	(1.02241e-05,0)	(5.82804e-06,0)	(3.32222e-06,0)	(1.89381e-06,0)	(1.07957e-06,0)	(6.154e-07,0)	(3.50783e-07,0)	(1.99903e-07,0)	(1.13832e-07,0)	(6.4636e-08,0)	(3.62782e-08,0)	(1.90389e-08,0)	
(5.25492e-06,0)	(1.00122e-05,0)	(1.78392e-05,0)	(3.14212e-05,0)	(5.51928e-05,0)	(9.68888e-05,0)	(0.000170089,0)	(0.000298684,0)	(0.000524799,0)	(0.000922926,0)	(0.00162536,0)	(0.00286855,0)	(0.00507925,0)	(0.00903841,0)	(0.0162039,0)	(0.0293737,0)	(0.0541308,0)	(0.102288,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102288,0)	(0.0541308,0)	(0.0293737,0)	(0.0162039,0)	(0.00903844,0)	(0.00507931,0)	(0.0028686,0)	(0.0016254,0)	(0.000922953,0)	(0.000524818,0)	(0.000298696,0)	(0.000170099,0)	(9.69037e-05,0)	(5.5218e-05,0)	(3.14695e-05,0)	(1.79368e-05,0)	(1.02241e-05,0)	(5.828e-06,0)	(3.32217e-06,0)	(1.89379e-06,0)	(1.07954e-06,0)	(6.15343e-07,0)	(3.5067e-07,0)	(1.99684e-07,0)	(1.13385e-07,0)	(6.36395e-08,0)	(3.33984e-08,0)	
