(0.996794,0)	(0.414255,0)	(0.191305,0)	(0.0958161,0)	(0.0502142,0)	(0.0270503,0)	(0.0148377,0)	(0.00824008,0)	(0.00461536,0)	(0.00260036,0)	(0.00147093,0)	(0.000834275,0)	(0.000474014,0)	(0.000269636,0)	(0.000153494,0)	(8.74217e-05,0)	(4.98065e-05,0)	(2.83818e-05,0)	(1.61752e-05,0)	(9.21927e-06,0)	(5.25492e-06,0)	(2.99537e-06,0)	(1.70745e-06,0)	(9.73307e-07,0)	(5.54827e-07,0)	(3.16279e-07,0)	(1.80295e-07,0)	(1.02777e-07,0)	(5.85888e-08,0)	(3.33987e-08,0)	(1.90391e-08,0)	(1.08533e-08,0)	(6.18698e-09,0)	(3.5269e-09,0)	(2.01051e-09,0)	(1.14609e-09,0)	(6.53327e-10,0)	(3.7243e-10,0)	(2.12304e-10,0)	(1.21025e-10,0)	(6.89902e-11,0)	(3.93277e-11,0)	(2.24187e-11,0)	(1.27795e-11,0)	(7.28435e-12,0)	(4.15115e-12,0)	(2.36378e-12,0)	(1.34218e-12,0)	(7.53315e-13,0)	(3.9533e-13,0)	
(2.99537e-06,0)	(5.70707e-06,0)	(1.01683e-05,0)	(1.7909e-05,0)	(3.14549e-05,0)	(5.52094e-05,0)	(9.68969e-05,0)	(0.000170091,0)	(0.000298683,0)	(0.000524795,0)	(0.000922923,0)	(0.00162535,0)	(0.00286855,0)	(0.00507926,0)	(0.00903841,0)	(0.0162039,0)	(0.0293737,0)	(0.0541308,0)	(0.102288,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102288,0)	(0.0541308,0)	(0.0293737,0)	(0.0162039,0)	(0.00903847,0)	(0.00507931,0)	(0.0028686,0)	(0.0016254,0)	(0.000922954,0)	(0.000524816,0)	(0.000298694,0)	(0.000170098,0)	(9.69025e-05,0)	(5.52177e-05,0)	(3.14695e-05,0)	(1.79367e-05,0)	(1.0224e-05,0)	(5.82794e-06,0)	(3.32214e-06,0)	(1.89374e-06,0)	(1.07944e-06,0)	(6.15148e-07,0)	(3.50287e-07,0)	(1.989e-07,0)	(1.11637e-07,0)	(5.85881e-08,0)	
(1.70745e-06,0)	(3.25322e-06,0)	(5.79617e-06,0)	(1.02082e-05,0)	(1.79283e-05,0)	(3.14646e-05,0)	(5.52144e-05,0)	(9.68992e-05,0)	(0.000170092,0)	(0.000298682,0)	(0.000524797,0)	(0.000922924,0)	(0.00162536,0)	(0.00286857,0)	(0.00507928,0)	(0.00903845,0)	(0.0162039,0)	(0.0293737,0)	(0.0541308,0)	(0.102288,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102288,0)	(0.0541308,0)	(0.0293737,0)	(0.0162039,0)	(0.00903846,0)	(0.00507931,0)	(0.0028686,0)	(0.0016254,0)	(0.000922952,0)	(0.000524813,0)	(0.000298692,0)	(0.000170096,0)	(9.69022e-05,0)	(5.52176e-05,0)	(3.14694e-05,0)	(1.79366e-05,0)	(1.02239e-05,0)	(5.82788e-06,0)	(3.32206e-06,0)	(1.89357e-06,0)	(1.0791e-06,0)	(6.14475e-07,0)	(3.48912e-07,0)	(1.95835e-07,0)	(1.02777e-07,0)	
(9.73307e-07,0)	(1.85447e-06,0)	(3.30403e-06,0)	(5.8189e-06,0)	(1.02192e-05,0)	(1.79338e-05,0)	(3.14674e-05,0)	(5.52156e-05,0)	(9.68993e-05,0)	(0.000170092,0)	(0.000298683,0)	(0.000524797,0)	(0.000922929,0)	(0.00162537,0)	(0.00286858,0)	(0.00507929,0)	(0.00903845,0)	(0.0162039,0)	(0.0293737,0)	(0.0541308,0)	(0.102288,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102288,0)	(0.0541308,0)	(0.0293737,0)	(0.0162039,0)	(0.00903844,0)	(0.00507929,0)	(0.0028686,0)	(0.00162539,0)	(0.000922943,0)	(0.000524808,0)	(0.000298688,0)	(0.000170095,0)	(9.69016e-05,0)	(5.52173e-05,0)	(3.14692e-05,0)	(1.79364e-05,0)	(1.02238e-05,0)	(5.82771e-06,0)	(3.32175e-06,0)	(1.89297e-06,0)	(1.07791e-06,0)	(6.12061e-07,0)	(3.43535e-07,0)	(1.80293e-07,0)	
(5.54827e-07,0)	(1.05713e-06,0)	(1.88345e-06,0)	(3.317e-06,0)	(5.82521e-06,0)	(1.02224e-05,0)	(1.79355e-05,0)	(3.14682e-05,0)	(5.52158e-05,0)	(9.68993e-05,0)	(0.000170092,0)	(0.000298683,0)	(0.000524801,0)	(0.000922936,0)	(0.00162538,0)	(0.00286859,0)	(0.0050793,0)	(0.00903843,0)	(0.0162039,0)	(0.0293737,0)	(0.0541308,0)	(0.102288,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102288,0)	(0.0541308,0)	(0.0293737,0)	(0.0162039,0)	(0.00903845,0)	(0.00507931,0)	(0.0028686,0)	(0.00162538,0)	(0.000922941,0)	(0.000524804,0)	(0.000298688,0)	(0.000170095,0)	(9.69017e-05,0)	(5.52173e-05,0)	(3.1469e-05,0)	(1.79363e-05,0)	(1.02236e-05,0)	(5.82721e-06,0)	(3.32071e-06,0)	(1.8909e-06,0)	(1.07369e-06,0)	(6.02636e-07,0)	(3.16276e-07,0)	
(3.16279e-07,0)	(6.02624e-07,0)	(1.07367e-06,0)	(1.89086e-06,0)	(3.32062e-06,0)	(5.82706e-06,0)	(1.02234e-05,0)	(1.7936e-05,0)	(3.14685e-05,0)	(5.52162e-05,0)	(9.69003e-05,0)	(0.000170094,0)	(0.000298688,0)	(0.000524808,0)	(0.000922945,0)	(0.00162539,0)	(0.0028686,0)	(0.00507931,0)	(0.00903846,0)	(0.0162039,0)	(0.0293737,0)	(0.0541308,0)	(0.102288,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102288,0)	(0.0541308,0)	(0.0293737,0)	(0.0162039,0)	(0.00903846,0)	(0.0050793,0)	(0.00286858,0)	(0.00162538,0)	(0.000922933,0)	(0.000524803,0)	(0.000298688,0)	(0.000170095,0)	(9.69016e-05,0)	(5.52169e-05,0)	(3.14687e-05,0)	(1.79359e-05,0)	(1.02227e-05,0)	(5.82539e-06,0)	(3.31709e-06,0)	(1.88349e-06,0)	(1.05716e-06,0)	(5.54823e-07,0)	
(1.80295e-07,0)	(3.43528e-07,0)	(6.12049e-07,0)	(1.07789e-06,0)	(1.89292e-06,0)	(3.32166e-06,0)	(5.8276e-06,0)	(1.02236e-05,0)	(1.79361e-05,0)	(3.14685e-05,0)	(5.52165e-05,0)	(9.69007e-05,0)	(0.000170095,0)	(0.00029869,0)	(0.000524811,0)	(0.000922949,0)	(0.00162539,0)	(0.0028686,0)	(0.0050793,0)	(0.00903845,0)	(0.0162039,0)	(0.0293737,0)	(0.0541308,0)	(0.102288,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102288,0)	(0.0541308,0)	(0.0293737,0)	(0.0162039,0)	(0.00903844,0)	(0.00507927,0)	(0.00286857,0)	(0.00162536,0)	(0.000922931,0)	(0.000524803,0)	(0.000298688,0)	(0.000170095,0)	(9.69009e-05,0)	(5.52165e-05,0)	(3.1468e-05,0)	(1.79343e-05,0)	(1.02195e-05,0)	(5.81905e-06,0)	(3.3041e-06,0)	(1.8545e-06,0)	(9.73297e-07,0)	
(1.02777e-07,0)	(1.95831e-07,0)	(3.48903e-07,0)	(6.14459e-07,0)	(1.07907e-06,0)	(1.89351e-06,0)	(3.32198e-06,0)	(5.82778e-06,0)	(1.02237e-05,0)	(1.79362e-05,0)	(3.14689e-05,0)	(5.52169e-05,0)	(9.6902e-05,0)	(0.000170097,0)	(0.000298693,0)	(0.000524815,0)	(0.000922953,0)	(0.00162539,0)	(0.0028686,0)	(0.00507931,0)	(0.00903844,0)	(0.0162039,0)	(0.0293737,0)	(0.0541308,0)	(0.102288,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102288,0)	(0.0541308,0)	(0.0293737,0)	(0.0162039,0)	(0.00903842,0)	(0.00507927,0)	(0.00286856,0)	(0.00162537,0)	(0.000922936,0)	(0.000524805,0)	(0.000298689,0)	(0.000170095,0)	(9.69007e-05,0)	(5.52155e-05,0)	(3.14655e-05,0)	(1.79288e-05,0)	(1.02084e-05,0)	(5.7963e-06,0)	(3.25328e-06,0)	(1.70743e-06,0)	
(5.85888e-08,0)	(1.11635e-07,0)	(1.98896e-07,0)	(3.50279e-07,0)	(6.15133e-07,0)	(1.07941e-06,0)	(1.89371e-06,0)	(3.3221e-06,0)	(5.82786e-06,0)	(1.02238e-05,0)	(1.79365e-05,0)	(3.14692e-05,0)	(5.52178e-05,0)	(9.69035e-05,0)	(0.0001701,0)	(0.000298696,0)	(0.000524819,0)	(0.000922956,0)	(0.0016254,0)	(0.00286861,0)	(0.00507931,0)	(0.00903847,0)	(0.0162039,0)	(0.0293737,0)	(0.0541308,0)	(0.102288,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102288,0)	(0.0541308,0)	(0.0293737,0)	(0.0162039,0)	(0.00903842,0)	(0.00507926,0)	(0.00286857,0)	(0.00162537,0)	(0.000922939,0)	(0.000524807,0)	(0.000298688,0)	(0.000170094,0)	(9.68989e-05,0)	(5.5211e-05,0)	(3.14558e-05,0)	(1.79094e-05,0)	(1.01685e-05,0)	(5.70719e-06,0)	(2.99534e-06,0)	
(3.33987e-08,0)	(6.36383e-08,0)	(1.13382e-07,0)	(1.99679e-07,0)	(3.50661e-07,0)	(6.15327e-07,0)	(1.07952e-06,0)	(1.89376e-06,0)	(3.32213e-06,0)	(5.82788e-06,0)	(1.02239e-05,0)	(1.79366e-05,0)	(3.14696e-05,0)	(5.52185e-05,0)	(9.69043e-05,0)	(0.000170101,0)	(0.000298697,0)	(0.000524818,0)	(0.000922955,0)	(0.0016254,0)	(0.0028686,0)	(0.00507931,0)	(0.00903846,0)	(0.0162039,0)	(0.0293737,0)	(0.0541308,0)	(0.102288,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102288,0)	(0.0541308,0)	(0.0293737,0)	(0.0162039,0)	(0.00903841,0)	(0.00507928,0)	(0.00286859,0)	(0.00162538,0)	(0.000922944,0)	(0.000524807,0)	(0.000298688,0)	(0.000170092,0)	(9.68913e-05,0)	(5.51942e-05,0)	(3.14219e-05,0)	(1.78396e-05,0)	(1.00124e-05,0)	(5.25485e-06,0)	
(1.90391e-08,0)	(3.62775e-08,0)	(6.46345e-08,0)	(1.13829e-07,0)	(1.99898e-07,0)	(3.50773e-07,0)	(6.15387e-07,0)	(1.07955e-06,0)	(1.89378e-06,0)	(3.32215e-06,0)	(5.82795e-06,0)	(1.0224e-05,0)	(1.79368e-05,0)	(3.147e-05,0)	(5.5219e-05,0)	(9.69051e-05,0)	(0.000170101,0)	(0.000298697,0)	(0.000524818,0)	(0.000922957,0)	(0.0016254,0)	(0.0028686,0)	(0.00507931,0)	(0.00903844,0)	(0.0162039,0)	(0.0293737,0)	(0.0541308,0)	(0.102288,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102288,0)	(0.0541308,0)	(0.0293737,0)	(0.0162039,0)	(0.00903844,0)	(0.0050793,0)	(0.00286859,0)	(0.00162539,0)	(0.00092294,0)	(0.000524805,0)	(0.000298682,0)	(0.000170078,0)	(9.68615e-05,0)	(5.51346e-05,0)	(3.12994e-05,0)	(1.75657e-05,0)	(9.21908e-06,0)	
(1.08533e-08,0)	(2.06802e-08,0)	(3.68454e-08,0)	(6.48892e-08,0)	(1.13953e-07,0)	(1.99961e-07,0)	(3.50807e-07,0)	(6.15406e-07,0)	(1.07956e-06,0)	(1.89379e-06,0)	(3.32218e-06,0)	(5.82798e-06,0)	(1.02241e-05,0)	(1.79371e-05,0)	(3.14703e-05,0)	(5.52194e-05,0)	(9.69054e-05,0)	(0.000170101,0)	(0.000298697,0)	(0.000524818,0)	(0.000922953,0)	(0.0016254,0)	(0.0028686,0)	(0.00507929,0)	(0.00903845,0)	(0.0162039,0)	(0.0293737,0)	(0.0541308,0)	(0.102288,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102288,0)	(0.0541308,0)	(0.0293737,0)	(0.0162039,0)	(0.00903845,0)	(0.0050793,0)	(0.00286859,0)	(0.00162538,0)	(0.000922934,0)	(0.000524793,0)	(0.000298657,0)	(0.000170025,0)	(9.67571e-05,0)	(5.49201e-05,0)	(3.08195e-05,0)	(1.61748e-05,0)	
(6.18698e-09,0)	(1.17889e-08,0)	(2.1004e-08,0)	(3.69906e-08,0)	(6.49603e-08,0)	(1.1399e-07,0)	(1.99981e-07,0)	(3.50818e-07,0)	(6.15412e-07,0)	(1.07957e-06,0)	(1.89381e-06,0)	(3.32221e-06,0)	(5.82807e-06,0)	(1.02243e-05,0)	(1.79372e-05,0)	(3.14705e-05,0)	(5.52196e-05,0)	(9.69054e-05,0)	(0.000170101,0)	(0.000298697,0)	(0.000524818,0)	(0.000922954,0)	(0.0016254,0)	(0.0028686,0)	(0.00507931,0)	(0.00903846,0)	(0.0162039,0)	(0.0293737,0)	(0.0541308,0)	(0.102288,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102288,0)	(0.0541308,0)	(0.0293737,0)	(0.0162039,0)	(0.00903845,0)	(0.00507929,0)	(0.00286857,0)	(0.00162536,0)	(0.000922913,0)	(0.000524749,0)	(0.000298565,0)	(0.000169843,0)	(9.63817e-05,0)	(5.40795e-05,0)	(2.83808e-05,0)	
(3.5269e-09,0)	(6.72031e-09,0)	(1.19735e-08,0)	(2.10868e-08,0)	(3.7031e-08,0)	(6.49807e-08,0)	(1.14001e-07,0)	(1.99986e-07,0)	(3.50821e-07,0)	(6.15415e-07,0)	(1.07958e-06,0)	(1.89382e-06,0)	(3.32224e-06,0)	(5.82813e-06,0)	(1.02244e-05,0)	(1.79373e-05,0)	(3.14706e-05,0)	(5.52194e-05,0)	(9.69051e-05,0)	(0.000170101,0)	(0.000298696,0)	(0.000524816,0)	(0.000922952,0)	(0.00162539,0)	(0.0028686,0)	(0.0050793,0)	(0.00903844,0)	(0.0162039,0)	(0.0293737,0)	(0.0541308,0)	(0.102288,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102288,0)	(0.0541308,0)	(0.0293737,0)	(0.0162039,0)	(0.00903841,0)	(0.00507925,0)	(0.00286855,0)	(0.00162532,0)	(0.000922835,0)	(0.000524588,0)	(0.000298246,0)	(0.000169186,0)	(9.491e-05,0)	(4.98045e-05,0)	
(2.01051e-09,0)	(3.83092e-09,0)	(6.8255e-09,0)	(1.20206e-08,0)	(2.11097e-08,0)	(3.70425e-08,0)	(6.49866e-08,0)	(1.14003e-07,0)	(1.99987e-07,0)	(3.5082e-07,0)	(6.15417e-07,0)	(1.07958e-06,0)	(1.89384e-06,0)	(3.32226e-06,0)	(5.82815e-06,0)	(1.02244e-05,0)	(1.79373e-05,0)	(3.14703e-05,0)	(5.52191e-05,0)	(9.69046e-05,0)	(0.000170099,0)	(0.000298694,0)	(0.000524813,0)	(0.000922943,0)	(0.00162538,0)	(0.00286858,0)	(0.00507927,0)	(0.00903842,0)	(0.0162039,0)	(0.0293737,0)	(0.0541308,0)	(0.102288,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102288,0)	(0.0541308,0)	(0.0293737,0)	(0.0162039,0)	(0.0090384,0)	(0.00507924,0)	(0.0028685,0)	(0.0016252,0)	(0.000922565,0)	(0.000524039,0)	(0.000297104,0)	(0.000166614,0)	(8.74189e-05,0)	
(1.14609e-09,0)	(2.18383e-09,0)	(3.89089e-09,0)	(6.85236e-09,0)	(1.20337e-08,0)	(2.11162e-08,0)	(3.70459e-08,0)	(6.49882e-08,0)	(1.14004e-07,0)	(1.99987e-07,0)	(3.50822e-07,0)	(6.15417e-07,0)	(1.07958e-06,0)	(1.89385e-06,0)	(3.32227e-06,0)	(5.82815e-06,0)	(1.02243e-05,0)	(1.79371e-05,0)	(3.14701e-05,0)	(5.52188e-05,0)	(9.69037e-05,0)	(0.000170098,0)	(0.000298692,0)	(0.000524808,0)	(0.000922941,0)	(0.00162538,0)	(0.00286857,0)	(0.00507927,0)	(0.00903842,0)	(0.0162039,0)	(0.0293737,0)	(0.0541308,0)	(0.102288,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102288,0)	(0.0541308,0)	(0.0293737,0)	(0.0162038,0)	(0.00903836,0)	(0.00507914,0)	(0.00286828,0)	(0.00162473,0)	(0.000921611,0)	(0.000522049,0)	(0.000292609,0)	(0.000153489,0)	
(6.53327e-10,0)	(1.24489e-09,0)	(2.218e-09,0)	(3.90619e-09,0)	(6.85978e-09,0)	(1.20373e-08,0)	(2.11181e-08,0)	(3.70466e-08,0)	(6.4988e-08,0)	(1.14003e-07,0)	(1.99987e-07,0)	(3.5082e-07,0)	(6.15418e-07,0)	(1.07958e-06,0)	(1.89384e-06,0)	(3.32226e-06,0)	(5.8281e-06,0)	(1.02242e-05,0)	(1.79369e-05,0)	(3.14698e-05,0)	(5.5218e-05,0)	(9.69025e-05,0)	(0.000170096,0)	(0.000298688,0)	(0.000524804,0)	(0.000922933,0)	(0.00162536,0)	(0.00286856,0)	(0.00507926,0)	(0.00903841,0)	(0.0162039,0)	(0.0293737,0)	(0.0541308,0)	(0.102288,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102288,0)	(0.0541308,0)	(0.0293736,0)	(0.0162038,0)	(0.0090382,0)	(0.00507878,0)	(0.00286748,0)	(0.00162309,0)	(0.000918162,0)	(0.000514211,0)	(0.000269627,0)	
(3.7243e-10,0)	(7.0965e-10,0)	(1.26438e-09,0)	(2.22673e-09,0)	(3.91045e-09,0)	(6.86193e-09,0)	(1.20385e-08,0)	(2.11186e-08,0)	(3.70468e-08,0)	(6.49881e-08,0)	(1.14004e-07,0)	(1.99987e-07,0)	(3.50823e-07,0)	(6.15423e-07,0)	(1.07959e-06,0)	(1.89385e-06,0)	(3.32225e-06,0)	(5.82807e-06,0)	(1.02241e-05,0)	(1.79368e-05,0)	(3.14695e-05,0)	(5.52177e-05,0)	(9.69022e-05,0)	(0.000170095,0)	(0.000298688,0)	(0.000524803,0)	(0.000922931,0)	(0.00162537,0)	(0.00286857,0)	(0.00507928,0)	(0.00903844,0)	(0.0162039,0)	(0.0293737,0)	(0.0541308,0)	(0.102288,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102287,0)	(0.0541307,0)	(0.0293735,0)	(0.0162035,0)	(0.00903758,0)	(0.00507744,0)	(0.00286469,0)	(0.00161715,0)	(0.000904531,0)	(0.000473998,0)	
(2.12304e-10,0)	(4.04538e-10,0)	(7.20762e-10,0)	(1.26936e-09,0)	(2.22917e-09,0)	(3.91167e-09,0)	(6.86258e-09,0)	(1.20388e-08,0)	(2.11188e-08,0)	(3.70469e-08,0)	(6.49886e-08,0)	(1.14004e-07,0)	(1.99989e-07,0)	(3.50827e-07,0)	(6.15427e-07,0)	(1.0796e-06,0)	(1.89385e-06,0)	(3.32224e-06,0)	(5.82805e-06,0)	(1.02241e-05,0)	(1.79368e-05,0)	(3.14695e-05,0)	(5.52176e-05,0)	(9.69016e-05,0)	(0.000170095,0)	(0.000298688,0)	(0.000524803,0)	(0.000922936,0)	(0.00162537,0)	(0.00286859,0)	(0.0050793,0)	(0.00903845,0)	(0.0162039,0)	(0.0293737,0)	(0.0541308,0)	(0.102288,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102287,0)	(0.0541305,0)	(0.0293731,0)	(0.0162025,0)	(0.0090354,0)	(0.00507277,0)	(0.00285454,0)	(0.00159355,0)	(0.000834242,0)	
(1.21025e-10,0)	(2.30608e-10,0)	(4.10873e-10,0)	(7.23602e-10,0)	(1.27074e-09,0)	(2.22987e-09,0)	(3.91205e-09,0)	(6.86277e-09,0)	(1.20389e-08,0)	(2.11188e-08,0)	(3.70472e-08,0)	(6.49889e-08,0)	(1.14005e-07,0)	(1.99991e-07,0)	(3.50829e-07,0)	(6.1543e-07,0)	(1.07959e-06,0)	(1.89384e-06,0)	(3.32223e-06,0)	(5.82804e-06,0)	(1.02241e-05,0)	(1.79367e-05,0)	(3.14694e-05,0)	(5.52173e-05,0)	(9.69017e-05,0)	(0.000170095,0)	(0.000298688,0)	(0.000524805,0)	(0.000922939,0)	(0.00162538,0)	(0.00286859,0)	(0.0050793,0)	(0.00903845,0)	(0.0162039,0)	(0.0293737,0)	(0.0541308,0)	(0.102288,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102287,0)	(0.0541299,0)	(0.0293716,0)	(0.0161991,0)	(0.0090278,0)	(0.00505569,0)	(0.00281394,0)	(0.00147088,0)	
(6.89902e-11,0)	(1.31459e-10,0)	(2.34219e-10,0)	(4.12491e-10,0)	(7.24392e-10,0)	(1.27114e-09,0)	(2.23008e-09,0)	(3.91215e-09,0)	(6.86281e-09,0)	(1.20389e-08,0)	(2.11189e-08,0)	(3.70473e-08,0)	(6.49895e-08,0)	(1.14006e-07,0)	(1.99992e-07,0)	(3.5083e-07,0)	(6.15429e-07,0)	(1.07959e-06,0)	(1.89383e-06,0)	(3.32222e-06,0)	(5.828e-06,0)	(1.0224e-05,0)	(1.79366e-05,0)	(3.14692e-05,0)	(5.52173e-05,0)	(9.69016e-05,0)	(0.000170095,0)	(0.000298689,0)	(0.000524807,0)	(0.000922944,0)	(0.00162539,0)	(0.00286859,0)	(0.00507929,0)	(0.00903841,0)	(0.0162039,0)	(0.0293737,0)	(0.0541308,0)	(0.102287,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102286,0)	(0.0541277,0)	(0.0293664,0)	(0.016187,0)	(0.00899949,0)	(0.0049864,0)	(0.00260029,0)	
(3.93277e-11,0)	(7.49377e-11,0)	(1.33516e-10,0)	(2.3514e-10,0)	(4.12939e-10,0)	(7.24614e-10,0)	(1.27125e-09,0)	(2.23012e-09,0)	(3.91215e-09,0)	(6.86278e-09,0)	(1.20389e-08,0)	(2.11189e-08,0)	(3.70474e-08,0)	(6.49896e-08,0)	(1.14006e-07,0)	(1.99992e-07,0)	(3.50827e-07,0)	(6.15422e-07,0)	(1.07958e-06,0)	(1.89381e-06,0)	(3.32217e-06,0)	(5.82794e-06,0)	(1.02239e-05,0)	(1.79364e-05,0)	(3.1469e-05,0)	(5.52169e-05,0)	(9.69009e-05,0)	(0.000170095,0)	(0.000298688,0)	(0.000524807,0)	(0.00092294,0)	(0.00162538,0)	(0.00286857,0)	(0.00507925,0)	(0.0090384,0)	(0.0162038,0)	(0.0293736,0)	(0.0541307,0)	(0.102287,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427538,0)	(0.201472,0)	(0.102283,0)	(0.0541198,0)	(0.0293474,0)	(0.0161409,0)	(0.0088825,0)	(0.00461526,0)	
(2.24187e-11,0)	(4.27181e-11,0)	(7.61107e-11,0)	(1.34041e-10,0)	(2.35395e-10,0)	(4.13066e-10,0)	(7.24678e-10,0)	(1.27128e-09,0)	(2.23012e-09,0)	(3.91213e-09,0)	(6.86278e-09,0)	(1.20388e-08,0)	(2.11189e-08,0)	(3.70475e-08,0)	(6.49896e-08,0)	(1.14006e-07,0)	(1.9999e-07,0)	(3.50823e-07,0)	(6.15416e-07,0)	(1.07957e-06,0)	(1.89379e-06,0)	(3.32214e-06,0)	(5.82788e-06,0)	(1.02238e-05,0)	(1.79363e-05,0)	(3.14687e-05,0)	(5.52165e-05,0)	(9.69007e-05,0)	(0.000170094,0)	(0.000298688,0)	(0.000524805,0)	(0.000922934,0)	(0.00162536,0)	(0.00286855,0)	(0.00507924,0)	(0.00903836,0)	(0.0162038,0)	(0.0293735,0)	(0.0541305,0)	(0.102287,0)	(0.201473,0)	(0.427538,0)	(1,0)	(0.427538,0)	(0.201468,0)	(0.102272,0)	(0.0540907,0)	(0.0292739,0)	(0.015946,0)	(0.00823991,0)	
(1.27795e-11,0)	(2.4351e-11,0)	(4.33861e-11,0)	(7.64089e-11,0)	(1.34185e-10,0)	(2.35464e-10,0)	(4.13095e-10,0)	(7.24681e-10,0)	(1.27126e-09,0)	(2.23007e-09,0)	(3.91207e-09,0)	(6.86265e-09,0)	(1.20387e-08,0)	(2.11187e-08,0)	(3.70469e-08,0)	(6.49883e-08,0)	(1.14003e-07,0)	(1.99985e-07,0)	(3.50814e-07,0)	(6.154e-07,0)	(1.07954e-06,0)	(1.89374e-06,0)	(3.32206e-06,0)	(5.82771e-06,0)	(1.02236e-05,0)	(1.79359e-05,0)	(3.1468e-05,0)	(5.52155e-05,0)	(9.68989e-05,0)	(0.000170092,0)	(0.000298682,0)	(0.000524793,0)	(0.000922913,0)	(0.00162532,0)	(0.0028685,0)	(0.00507914,0)	(0.0090382,0)	(0.0162035,0)	(0.0293731,0)	(0.0541299,0)	(0.102286,0)	(0.201472,0)	(0.427538,0)	(1,0)	(0.427535,0)	(0.201454,0)	(0.10223,0)	(0.053976,0)	(0.0289537,0)	(0.0148375,0)	
(7.28435e-12,0)	(1.38801e-11,0)	(2.47302e-11,0)	(4.35533e-11,0)	(7.64857e-11,0)	(1.34215e-10,0)	(2.35466e-10,0)	(4.13071e-10,0)	(7.24623e-10,0)	(1.27115e-09,0)	(2.2299e-09,0)	(3.91174e-09,0)	(6.86212e-09,0)	(1.20378e-08,0)	(2.1117e-08,0)	(3.70438e-08,0)	(6.49827e-08,0)	(1.13993e-07,0)	(1.99967e-07,0)	(3.50783e-07,0)	(6.15343e-07,0)	(1.07944e-06,0)	(1.89357e-06,0)	(3.32175e-06,0)	(5.82721e-06,0)	(1.02227e-05,0)	(1.79343e-05,0)	(3.14655e-05,0)	(5.5211e-05,0)	(9.68913e-05,0)	(0.000170078,0)	(0.000298657,0)	(0.000524749,0)	(0.000922835,0)	(0.0016252,0)	(0.00286828,0)	(0.00507878,0)	(0.00903758,0)	(0.0162025,0)	(0.0293716,0)	(0.0541277,0)	(0.102283,0)	(0.201468,0)	(0.427535,0)	(1.00001,0)	(0.427525,0)	(0.201401,0)	(0.10206,0)	(0.0534609,0)	(0.02705,0)	
(4.15115e-12,0)	(7.90991e-12,0)	(1.40931e-11,0)	(2.48198e-11,0)	(4.35871e-11,0)	(7.64856e-11,0)	(1.34186e-10,0)	(2.35398e-10,0)	(4.12944e-10,0)	(7.24397e-10,0)	(1.27076e-09,0)	(2.2292e-09,0)	(3.91055e-09,0)	(6.86003e-09,0)	(1.20341e-08,0)	(2.11104e-08,0)	(3.70322e-08,0)	(6.4962e-08,0)	(1.13957e-07,0)	(1.99903e-07,0)	(3.5067e-07,0)	(6.15148e-07,0)	(1.0791e-06,0)	(1.89297e-06,0)	(3.32071e-06,0)	(5.82539e-06,0)	(1.02195e-05,0)	(1.79288e-05,0)	(3.14558e-05,0)	(5.51942e-05,0)	(9.68615e-05,0)	(0.000170025,0)	(0.000298565,0)	(0.000524588,0)	(0.000922565,0)	(0.00162473,0)	(0.00286748,0)	(0.00507744,0)	(0.0090354,0)	(0.0161991,0)	(0.0293664,0)	(0.0541198,0)	(0.102272,0)	(0.201454,0)	(0.427525,0)	(1.00004,0)	(0.427485,0)	(0.201179,0)	(0.101267,0)	(0.0502139,0)	
