(0.998962,0)	(0.319608,0)	(0.114355,0)	(0.0444243,0)	(0.0180578,0)	(0.0075129,0)	(0.0031597,0)	(0.00133515,0)	(0.000565283,0)	(0.000239525,0)	(0.000101525,0)	(4.30371e-05,0)	(1.82444e-05,0)	(7.73421e-06,0)	(3.27869e-06,0)	(1.38988e-06,0)	(5.89188e-07,0)	(2.49763e-07,0)	(1.05877e-07,0)	(4.48819e-08,0)	(1.90258e-08,0)	(8.06515e-09,0)	(3.41885e-09,0)	(1.44927e-09,0)	(6.14354e-10,0)	(2.60429e-10,0)	(1.10397e-10,0)	(4.67981e-11,0)	(1.98379e-11,0)	(8.40935e-12,0)	(3.56476e-12,0)	(1.51112e-12,0)	(6.40565e-13,0)	(2.71539e-13,0)	(1.15107e-13,0)	(4.8794e-14,0)	(2.06838e-14,0)	(8.76793e-15,0)	(3.71675e-15,0)	(1.57554e-15,0)	(6.67879e-16,0)	(2.83116e-16,0)	(1.20014e-16,0)	(5.08742e-17,0)	(2.15657e-17,0)	(9.14163e-18,0)	(3.8747e-18,0)	(1.64128e-18,0)	(6.92269e-19,0)	(2.80171e-19,0)	
(4.30371e-05,0)	(0.000106313,0)	(0.00025204,0)	(0.000595108,0)	(0.0014051,0)	(0.00332219,0)	(0.00788404,0)	(0.0188781,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.0461481,0)	(0.018878,0)	(0.00788399,0)	(0.00332218,0)	(0.00140512,0)	(0.00059519,0)	(0.000252261,0)	(0.000106938,0)	(4.53353e-05,0)	(1.92197e-05,0)	(8.14801e-06,0)	(3.45422e-06,0)	(1.46434e-06,0)	(6.20766e-07,0)	(2.63153e-07,0)	(1.11554e-07,0)	(4.7289e-08,0)	(2.00462e-08,0)	(8.4977e-09,0)	(3.60225e-09,0)	(1.52702e-09,0)	(6.47309e-10,0)	(2.74396e-10,0)	(1.16317e-10,0)	(4.93073e-11,0)	(2.09015e-11,0)	(8.86026e-12,0)	(3.7559e-12,0)	(1.59214e-12,0)	(6.74912e-13,0)	(2.86097e-13,0)	(1.21275e-13,0)	(5.14029e-14,0)	(2.17737e-14,0)	(9.18384e-15,0)	(3.71683e-15,0)	
(1.82444e-05,0)	(4.50702e-05,0)	(0.000106844,0)	(0.000252226,0)	(0.000595181,0)	(0.00140514,0)	(0.00332221,0)	(0.00788406,0)	(0.0188781,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.0461481,0)	(0.018878,0)	(0.00788402,0)	(0.00332219,0)	(0.00140513,0)	(0.000595196,0)	(0.000252263,0)	(0.000106938,0)	(4.53357e-05,0)	(1.92199e-05,0)	(8.14812e-06,0)	(3.45426e-06,0)	(1.46436e-06,0)	(6.20771e-07,0)	(2.63155e-07,0)	(1.11555e-07,0)	(4.72893e-08,0)	(2.00463e-08,0)	(8.4978e-09,0)	(3.60228e-09,0)	(1.52702e-09,0)	(6.4731e-10,0)	(2.74397e-10,0)	(1.16318e-10,0)	(4.93076e-11,0)	(2.09017e-11,0)	(8.86033e-12,0)	(3.75592e-12,0)	(1.59215e-12,0)	(6.74915e-13,0)	(2.86094e-13,0)	(1.21262e-13,0)	(5.1365e-14,0)	(2.16651e-14,0)	(8.76816e-15,0)	
(7.73421e-06,0)	(1.91071e-05,0)	(4.52957e-05,0)	(0.000106923,0)	(0.000252257,0)	(0.000595197,0)	(0.00140514,0)	(0.00332222,0)	(0.00788403,0)	(0.0188781,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.046148,0)	(0.0188781,0)	(0.00788403,0)	(0.0033222,0)	(0.00140514,0)	(0.000595198,0)	(0.000252262,0)	(0.000106939,0)	(4.53361e-05,0)	(1.92201e-05,0)	(8.14818e-06,0)	(3.45429e-06,0)	(1.46436e-06,0)	(6.20772e-07,0)	(2.63156e-07,0)	(1.11555e-07,0)	(4.72893e-08,0)	(2.00464e-08,0)	(8.49785e-09,0)	(3.60228e-09,0)	(1.52702e-09,0)	(6.4731e-10,0)	(2.74397e-10,0)	(1.16318e-10,0)	(4.93079e-11,0)	(2.09018e-11,0)	(8.86034e-12,0)	(3.75593e-12,0)	(1.59215e-12,0)	(6.74906e-13,0)	(2.86061e-13,0)	(1.21172e-13,0)	(5.11087e-14,0)	(2.06844e-14,0)	
(3.27869e-06,0)	(8.10017e-06,0)	(1.92028e-05,0)	(4.53291e-05,0)	(0.000106936,0)	(0.000252262,0)	(0.000595198,0)	(0.00140514,0)	(0.0033222,0)	(0.00788402,0)	(0.018878,0)	(0.0461481,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.046148,0)	(0.0188781,0)	(0.00788402,0)	(0.00332221,0)	(0.00140514,0)	(0.000595195,0)	(0.000252263,0)	(0.000106939,0)	(4.53363e-05,0)	(1.92202e-05,0)	(8.14822e-06,0)	(3.4543e-06,0)	(1.46436e-06,0)	(6.20774e-07,0)	(2.63156e-07,0)	(1.11555e-07,0)	(4.72895e-08,0)	(2.00465e-08,0)	(8.49784e-09,0)	(3.60227e-09,0)	(1.52702e-09,0)	(6.47309e-10,0)	(2.74397e-10,0)	(1.16318e-10,0)	(4.93079e-11,0)	(2.09018e-11,0)	(8.86034e-12,0)	(3.75592e-12,0)	(1.59212e-12,0)	(6.74825e-13,0)	(2.85848e-13,0)	(1.20567e-13,0)	(4.87951e-14,0)	
(1.38988e-06,0)	(3.43389e-06,0)	(8.14076e-06,0)	(1.92169e-05,0)	(4.53344e-05,0)	(0.000106938,0)	(0.000252262,0)	(0.000595195,0)	(0.00140513,0)	(0.00332218,0)	(0.00788399,0)	(0.018878,0)	(0.0461481,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.046148,0)	(0.018878,0)	(0.00788405,0)	(0.00332221,0)	(0.00140513,0)	(0.000595196,0)	(0.000252264,0)	(0.00010694,0)	(4.53366e-05,0)	(1.92203e-05,0)	(8.14823e-06,0)	(3.45429e-06,0)	(1.46437e-06,0)	(6.20774e-07,0)	(2.63155e-07,0)	(1.11555e-07,0)	(4.72896e-08,0)	(2.00464e-08,0)	(8.49779e-09,0)	(3.60226e-09,0)	(1.52701e-09,0)	(6.47309e-10,0)	(2.74398e-10,0)	(1.16318e-10,0)	(4.93078e-11,0)	(2.09018e-11,0)	(8.86031e-12,0)	(3.75586e-12,0)	(1.59193e-12,0)	(6.74323e-13,0)	(2.8442e-13,0)	(1.15109e-13,0)	
(5.89188e-07,0)	(1.4557e-06,0)	(3.4511e-06,0)	(8.14674e-06,0)	(1.92191e-05,0)	(4.53353e-05,0)	(0.000106938,0)	(0.000252261,0)	(0.000595189,0)	(0.00140512,0)	(0.00332217,0)	(0.00788399,0)	(0.018878,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.046148,0)	(0.0188781,0)	(0.00788405,0)	(0.0033222,0)	(0.00140514,0)	(0.0005952,0)	(0.000252266,0)	(0.00010694,0)	(4.53368e-05,0)	(1.92203e-05,0)	(8.14822e-06,0)	(3.4543e-06,0)	(1.46437e-06,0)	(6.20772e-07,0)	(2.63156e-07,0)	(1.11556e-07,0)	(4.72896e-08,0)	(2.00463e-08,0)	(8.49777e-09,0)	(3.60225e-09,0)	(1.52701e-09,0)	(6.47311e-10,0)	(2.74398e-10,0)	(1.16318e-10,0)	(4.93078e-11,0)	(2.09017e-11,0)	(8.86017e-12,0)	(3.75541e-12,0)	(1.59075e-12,0)	(6.70956e-13,0)	(2.71545e-13,0)	
(2.49763e-07,0)	(6.17097e-07,0)	(1.46301e-06,0)	(3.45365e-06,0)	(8.14772e-06,0)	(1.92196e-05,0)	(4.53353e-05,0)	(0.000106937,0)	(0.000252259,0)	(0.000595187,0)	(0.00140512,0)	(0.00332218,0)	(0.00788402,0)	(0.0188781,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.046148,0)	(0.018878,0)	(0.00788398,0)	(0.00332219,0)	(0.00140514,0)	(0.000595201,0)	(0.000252266,0)	(0.00010694,0)	(4.53367e-05,0)	(1.92202e-05,0)	(8.14821e-06,0)	(3.45429e-06,0)	(1.46435e-06,0)	(6.20772e-07,0)	(2.63156e-07,0)	(1.11555e-07,0)	(4.72891e-08,0)	(2.00462e-08,0)	(8.49772e-09,0)	(3.60224e-09,0)	(1.52701e-09,0)	(6.47308e-10,0)	(2.74397e-10,0)	(1.16318e-10,0)	(4.93075e-11,0)	(2.09013e-11,0)	(8.85907e-12,0)	(3.7526e-12,0)	(1.5828e-12,0)	(6.4058e-13,0)	
(1.05877e-07,0)	(2.61596e-07,0)	(6.20196e-07,0)	(1.46409e-06,0)	(3.45407e-06,0)	(8.14791e-06,0)	(1.92196e-05,0)	(4.53353e-05,0)	(0.000106937,0)	(0.000252258,0)	(0.000595188,0)	(0.00140512,0)	(0.00332219,0)	(0.00788403,0)	(0.0188781,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.0461481,0)	(0.018878,0)	(0.00788403,0)	(0.00332222,0)	(0.00140515,0)	(0.000595206,0)	(0.000252268,0)	(0.000106941,0)	(4.53368e-05,0)	(1.92203e-05,0)	(8.14825e-06,0)	(3.45429e-06,0)	(1.46437e-06,0)	(6.20777e-07,0)	(2.63157e-07,0)	(1.11555e-07,0)	(4.72892e-08,0)	(2.00463e-08,0)	(8.49776e-09,0)	(3.60226e-09,0)	(1.52702e-09,0)	(6.47311e-10,0)	(2.74398e-10,0)	(1.16318e-10,0)	(4.93069e-11,0)	(2.08989e-11,0)	(8.85252e-12,0)	(3.73388e-12,0)	(1.51115e-12,0)	
(4.48819e-08,0)	(1.10894e-07,0)	(2.6291e-07,0)	(6.20655e-07,0)	(1.46427e-06,0)	(3.45415e-06,0)	(8.14792e-06,0)	(1.92196e-05,0)	(4.53349e-05,0)	(0.000106937,0)	(0.000252259,0)	(0.00059519,0)	(0.00140513,0)	(0.0033222,0)	(0.00788402,0)	(0.018878,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.046148,0)	(0.0188781,0)	(0.00788409,0)	(0.00332225,0)	(0.00140516,0)	(0.00059521,0)	(0.000252269,0)	(0.000106941,0)	(4.5337e-05,0)	(1.92204e-05,0)	(8.14823e-06,0)	(3.45431e-06,0)	(1.46438e-06,0)	(6.20777e-07,0)	(2.63156e-07,0)	(1.11555e-07,0)	(4.72892e-08,0)	(2.00463e-08,0)	(8.49779e-09,0)	(3.60227e-09,0)	(1.52702e-09,0)	(6.47311e-10,0)	(2.74397e-10,0)	(1.16316e-10,0)	(4.9301e-11,0)	(2.08834e-11,0)	(8.80833e-12,0)	(3.56486e-12,0)	
(1.90258e-08,0)	(4.70091e-08,0)	(1.11451e-07,0)	(2.63106e-07,0)	(6.20734e-07,0)	(1.46431e-06,0)	(3.45417e-06,0)	(8.14796e-06,0)	(1.92196e-05,0)	(4.53351e-05,0)	(0.000106937,0)	(0.000252261,0)	(0.000595196,0)	(0.00140514,0)	(0.00332221,0)	(0.00788405,0)	(0.0188781,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.046148,0)	(0.0188781,0)	(0.00788407,0)	(0.00332223,0)	(0.00140515,0)	(0.000595206,0)	(0.000252266,0)	(0.00010694,0)	(4.53366e-05,0)	(1.92201e-05,0)	(8.14819e-06,0)	(3.45429e-06,0)	(1.46436e-06,0)	(6.20768e-07,0)	(2.63153e-07,0)	(1.11554e-07,0)	(4.72887e-08,0)	(2.00462e-08,0)	(8.49771e-09,0)	(3.60223e-09,0)	(1.527e-09,0)	(6.47303e-10,0)	(2.7439e-10,0)	(1.16301e-10,0)	(4.92639e-11,0)	(2.07789e-11,0)	(8.40951e-12,0)	
