(0.998962,0)	(0.319608,0)	(0.114355,0)	(0.0444243,0)	(0.0180578,0)	(0.0075129,0)	(0.0031597,0)	(0.00133515,0)	(0.000565283,0)	(0.000239525,0)	(0.000101525,0)	(4.30371e-05,0)	(1.82444e-05,0)	(7.73421e-06,0)	(3.27869e-06,0)	(1.38988e-06,0)	(5.89188e-07,0)	(2.49763e-07,0)	(1.05877e-07,0)	(4.48819e-08,0)	(1.90258e-08,0)	(8.06515e-09,0)	(3.41885e-09,0)	(1.44927e-09,0)	(6.14354e-10,0)	(2.60429e-10,0)	(1.10397e-10,0)	(4.67981e-11,0)	(1.98379e-11,0)	(8.40935e-12,0)	(3.56476e-12,0)	(1.51112e-12,0)	(6.40565e-13,0)	(2.71539e-13,0)	(1.15107e-13,0)	(4.8794e-14,0)	(2.06838e-14,0)	(8.76793e-15,0)	(3.71675e-15,0)	(1.57554e-15,0)	(6.67879e-16,0)	(2.83116e-16,0)	(1.20014e-16,0)	(5.08742e-17,0)	(2.15657e-17,0)	(9.14163e-18,0)	(3.8747e-18,0)	(1.64128e-18,0)	(6.92269e-19,0)	(2.80171e-19,0)	
(8.06515e-09,0)	(1.99275e-08,0)	(4.72454e-08,0)	(1.11534e-07,0)	(2.63139e-07,0)	(6.20749e-07,0)	(1.46431e-06,0)	(3.45418e-06,0)	(8.14792e-06,0)	(1.92196e-05,0)	(4.53352e-05,0)	(0.000106938,0)	(0.000252263,0)	(0.000595198,0)	(0.00140514,0)	(0.00332221,0)	(0.00788405,0)	(0.018878,0)	(0.0461481,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.046148,0)	(0.0188781,0)	(0.00788406,0)	(0.00332223,0)	(0.00140515,0)	(0.000595201,0)	(0.000252265,0)	(0.00010694,0)	(4.53361e-05,0)	(1.92201e-05,0)	(8.14816e-06,0)	(3.45426e-06,0)	(1.46434e-06,0)	(6.20762e-07,0)	(2.6315e-07,0)	(1.11553e-07,0)	(4.72885e-08,0)	(2.0046e-08,0)	(8.49765e-09,0)	(3.6022e-09,0)	(1.52699e-09,0)	(6.47288e-10,0)	(2.74355e-10,0)	(1.16214e-10,0)	(4.90176e-11,0)	(1.98381e-11,0)	
(3.41885e-09,0)	(8.44739e-09,0)	(2.00276e-08,0)	(4.72803e-08,0)	(1.11547e-07,0)	(2.63144e-07,0)	(6.20749e-07,0)	(1.46431e-06,0)	(3.45414e-06,0)	(8.14788e-06,0)	(1.92195e-05,0)	(4.53353e-05,0)	(0.000106938,0)	(0.000252262,0)	(0.000595195,0)	(0.00140513,0)	(0.0033222,0)	(0.00788398,0)	(0.018878,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.046148,0)	(0.0188781,0)	(0.00788405,0)	(0.00332222,0)	(0.00140514,0)	(0.000595199,0)	(0.000252264,0)	(0.000106939,0)	(4.53361e-05,0)	(1.922e-05,0)	(8.1481e-06,0)	(3.45422e-06,0)	(1.46433e-06,0)	(6.20757e-07,0)	(2.63149e-07,0)	(1.11553e-07,0)	(4.72883e-08,0)	(2.00459e-08,0)	(8.49759e-09,0)	(3.60217e-09,0)	(1.52696e-09,0)	(6.47207e-10,0)	(2.7415e-10,0)	(1.15633e-10,0)	(4.67984e-11,0)	
(1.44927e-09,0)	(3.58091e-09,0)	(8.48988e-09,0)	(2.00426e-08,0)	(4.72862e-08,0)	(1.1155e-07,0)	(2.63146e-07,0)	(6.2075e-07,0)	(1.4643e-06,0)	(3.45415e-06,0)	(8.14792e-06,0)	(1.92197e-05,0)	(4.53357e-05,0)	(0.000106939,0)	(0.000252263,0)	(0.000595196,0)	(0.00140514,0)	(0.00332219,0)	(0.00788403,0)	(0.0188781,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.046148,0)	(0.0188781,0)	(0.00788404,0)	(0.0033222,0)	(0.00140514,0)	(0.000595198,0)	(0.000252262,0)	(0.000106939,0)	(4.53361e-05,0)	(1.92199e-05,0)	(8.14804e-06,0)	(3.4542e-06,0)	(1.46432e-06,0)	(6.20755e-07,0)	(2.63149e-07,0)	(1.11552e-07,0)	(4.72881e-08,0)	(2.00458e-08,0)	(8.49755e-09,0)	(3.6021e-09,0)	(1.52677e-09,0)	(6.46723e-10,0)	(2.7278e-10,0)	(1.10398e-10,0)	
(6.14354e-10,0)	(1.51797e-09,0)	(3.59893e-09,0)	(8.49623e-09,0)	(2.00451e-08,0)	(4.72877e-08,0)	(1.11551e-07,0)	(2.63147e-07,0)	(6.2075e-07,0)	(1.46431e-06,0)	(3.45418e-06,0)	(8.14801e-06,0)	(1.92199e-05,0)	(4.53361e-05,0)	(0.000106939,0)	(0.000252264,0)	(0.0005952,0)	(0.00140514,0)	(0.00332222,0)	(0.00788409,0)	(0.0188781,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.046148,0)	(0.0188781,0)	(0.00788401,0)	(0.0033222,0)	(0.00140514,0)	(0.000595194,0)	(0.000252263,0)	(0.000106939,0)	(4.53359e-05,0)	(1.92198e-05,0)	(8.148e-06,0)	(3.45419e-06,0)	(1.46432e-06,0)	(6.20756e-07,0)	(2.63148e-07,0)	(1.11552e-07,0)	(4.7288e-08,0)	(2.00457e-08,0)	(8.49739e-09,0)	(3.60166e-09,0)	(1.52563e-09,0)	(6.43493e-10,0)	(2.60432e-10,0)	
(2.60429e-10,0)	(6.4348e-10,0)	(1.52562e-09,0)	(3.60163e-09,0)	(8.49733e-09,0)	(2.00458e-08,0)	(4.72881e-08,0)	(1.11552e-07,0)	(2.63148e-07,0)	(6.20754e-07,0)	(1.46432e-06,0)	(3.45422e-06,0)	(8.14812e-06,0)	(1.92201e-05,0)	(4.53363e-05,0)	(0.00010694,0)	(0.000252266,0)	(0.000595201,0)	(0.00140515,0)	(0.00332225,0)	(0.00788407,0)	(0.0188781,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.046148,0)	(0.018878,0)	(0.00788404,0)	(0.0033222,0)	(0.00140513,0)	(0.000595197,0)	(0.000252264,0)	(0.000106939,0)	(4.53357e-05,0)	(1.92198e-05,0)	(8.14799e-06,0)	(3.45419e-06,0)	(1.46432e-06,0)	(6.20756e-07,0)	(2.63148e-07,0)	(1.11552e-07,0)	(4.72879e-08,0)	(2.00454e-08,0)	(8.49638e-09,0)	(3.59899e-09,0)	(1.51801e-09,0)	(6.14365e-10,0)	
(1.10397e-10,0)	(2.72776e-10,0)	(6.4672e-10,0)	(1.52676e-09,0)	(3.60209e-09,0)	(8.49759e-09,0)	(2.00459e-08,0)	(4.72884e-08,0)	(1.11552e-07,0)	(2.63149e-07,0)	(6.20759e-07,0)	(1.46434e-06,0)	(3.45426e-06,0)	(8.14818e-06,0)	(1.92202e-05,0)	(4.53366e-05,0)	(0.00010694,0)	(0.000252266,0)	(0.000595206,0)	(0.00140516,0)	(0.00332223,0)	(0.00788406,0)	(0.0188781,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.046148,0)	(0.0188781,0)	(0.00788405,0)	(0.0033222,0)	(0.00140514,0)	(0.000595201,0)	(0.000252264,0)	(0.000106939,0)	(4.53357e-05,0)	(1.92198e-05,0)	(8.14801e-06,0)	(3.45421e-06,0)	(1.46433e-06,0)	(6.20757e-07,0)	(2.63149e-07,0)	(1.11552e-07,0)	(4.72872e-08,0)	(2.00431e-08,0)	(8.49008e-09,0)	(3.58103e-09,0)	(1.4493e-09,0)	
(4.67981e-11,0)	(1.15631e-10,0)	(2.74148e-10,0)	(6.47202e-10,0)	(1.52695e-09,0)	(3.6022e-09,0)	(8.49765e-09,0)	(2.0046e-08,0)	(4.72883e-08,0)	(1.11553e-07,0)	(2.63151e-07,0)	(6.20766e-07,0)	(1.46436e-06,0)	(3.45429e-06,0)	(8.14822e-06,0)	(1.92203e-05,0)	(4.53368e-05,0)	(0.00010694,0)	(0.000252268,0)	(0.00059521,0)	(0.00140515,0)	(0.00332223,0)	(0.00788405,0)	(0.0188781,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.046148,0)	(0.018878,0)	(0.00788399,0)	(0.0033222,0)	(0.00140514,0)	(0.000595197,0)	(0.000252262,0)	(0.000106938,0)	(4.53354e-05,0)	(1.92197e-05,0)	(8.148e-06,0)	(3.4542e-06,0)	(1.46432e-06,0)	(6.20754e-07,0)	(2.63147e-07,0)	(1.1155e-07,0)	(4.72813e-08,0)	(2.00281e-08,0)	(8.44766e-09,0)	(3.41892e-09,0)	
(1.98379e-11,0)	(4.90166e-11,0)	(1.16213e-10,0)	(2.74353e-10,0)	(6.47284e-10,0)	(1.52699e-09,0)	(3.60222e-09,0)	(8.49768e-09,0)	(2.0046e-08,0)	(4.72885e-08,0)	(1.11553e-07,0)	(2.63153e-07,0)	(6.20771e-07,0)	(1.46436e-06,0)	(3.4543e-06,0)	(8.14823e-06,0)	(1.92203e-05,0)	(4.53367e-05,0)	(0.000106941,0)	(0.000252269,0)	(0.000595206,0)	(0.00140515,0)	(0.00332222,0)	(0.00788404,0)	(0.0188781,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.046148,0)	(0.018878,0)	(0.00788405,0)	(0.00332222,0)	(0.00140514,0)	(0.000595196,0)	(0.000252262,0)	(0.000106938,0)	(4.53356e-05,0)	(1.92198e-05,0)	(8.14803e-06,0)	(3.45421e-06,0)	(1.46432e-06,0)	(6.20755e-07,0)	(2.63144e-07,0)	(1.11537e-07,0)	(4.72464e-08,0)	(1.99282e-08,0)	(8.06533e-09,0)	
(8.40935e-12,0)	(2.07783e-11,0)	(4.92631e-11,0)	(1.16299e-10,0)	(2.74386e-10,0)	(6.473e-10,0)	(1.527e-09,0)	(3.60221e-09,0)	(8.49762e-09,0)	(2.0046e-08,0)	(4.72885e-08,0)	(1.11554e-07,0)	(2.63155e-07,0)	(6.20772e-07,0)	(1.46436e-06,0)	(3.45429e-06,0)	(8.14822e-06,0)	(1.92202e-05,0)	(4.53368e-05,0)	(0.000106941,0)	(0.000252266,0)	(0.000595201,0)	(0.00140514,0)	(0.0033222,0)	(0.00788401,0)	(0.018878,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.046148,0)	(0.0188781,0)	(0.00788409,0)	(0.00332222,0)	(0.00140514,0)	(0.000595195,0)	(0.000252262,0)	(0.000106938,0)	(4.53358e-05,0)	(1.92198e-05,0)	(8.14803e-06,0)	(3.45421e-06,0)	(1.46432e-06,0)	(6.20746e-07,0)	(2.63112e-07,0)	(1.11454e-07,0)	(4.70106e-08,0)	(1.90263e-08,0)	
(3.56476e-12,0)	(8.80802e-12,0)	(2.08829e-11,0)	(4.92998e-11,0)	(1.16314e-10,0)	(2.74394e-10,0)	(6.47304e-10,0)	(1.527e-09,0)	(3.60221e-09,0)	(8.49765e-09,0)	(2.00461e-08,0)	(4.7289e-08,0)	(1.11555e-07,0)	(2.63156e-07,0)	(6.20774e-07,0)	(1.46437e-06,0)	(3.4543e-06,0)	(8.14821e-06,0)	(1.92203e-05,0)	(4.5337e-05,0)	(0.00010694,0)	(0.000252265,0)	(0.000595199,0)	(0.00140514,0)	(0.0033222,0)	(0.00788404,0)	(0.0188781,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.046148,0)	(0.0188781,0)	(0.00788401,0)	(0.00332217,0)	(0.00140512,0)	(0.000595189,0)	(0.000252259,0)	(0.000106938,0)	(4.53354e-05,0)	(1.92197e-05,0)	(8.14795e-06,0)	(3.45417e-06,0)	(1.46429e-06,0)	(6.20666e-07,0)	(2.62915e-07,0)	(1.10897e-07,0)	(4.48827e-08,0)	
(1.51112e-12,0)	(3.73376e-12,0)	(8.85233e-12,0)	(2.08984e-11,0)	(4.93059e-11,0)	(1.16317e-10,0)	(2.74395e-10,0)	(6.47304e-10,0)	(1.527e-09,0)	(3.60221e-09,0)	(8.49768e-09,0)	(2.00462e-08,0)	(4.72893e-08,0)	(1.11555e-07,0)	(2.63156e-07,0)	(6.20774e-07,0)	(1.46437e-06,0)	(3.45429e-06,0)	(8.14825e-06,0)	(1.92204e-05,0)	(4.53366e-05,0)	(0.00010694,0)	(0.000252264,0)	(0.000595198,0)	(0.00140514,0)	(0.0033222,0)	(0.00788405,0)	(0.018878,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.046148,0)	(0.018878,0)	(0.00788398,0)	(0.00332218,0)	(0.00140512,0)	(0.00059519,0)	(0.000252261,0)	(0.000106938,0)	(4.53355e-05,0)	(1.92197e-05,0)	(8.14796e-06,0)	(3.45412e-06,0)	(1.46411e-06,0)	(6.20207e-07,0)	(2.61604e-07,0)	(1.05879e-07,0)	
(6.40565e-13,0)	(1.58275e-12,0)	(3.75252e-12,0)	(8.85887e-12,0)	(2.09009e-11,0)	(4.9307e-11,0)	(1.16317e-10,0)	(2.74394e-10,0)	(6.47299e-10,0)	(1.52699e-09,0)	(3.60221e-09,0)	(8.4977e-09,0)	(2.00463e-08,0)	(4.72893e-08,0)	(1.11555e-07,0)	(2.63155e-07,0)	(6.20772e-07,0)	(1.46435e-06,0)	(3.45429e-06,0)	(8.14823e-06,0)	(1.92201e-05,0)	(4.53361e-05,0)	(0.000106939,0)	(0.000252262,0)	(0.000595194,0)	(0.00140513,0)	(0.0033222,0)	(0.00788399,0)	(0.018878,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.0461481,0)	(0.018878,0)	(0.00788401,0)	(0.00332219,0)	(0.00140513,0)	(0.000595196,0)	(0.000252263,0)	(0.000106939,0)	(4.53358e-05,0)	(1.92198e-05,0)	(8.14788e-06,0)	(3.45373e-06,0)	(1.46304e-06,0)	(6.17117e-07,0)	(2.49769e-07,0)	
(2.71539e-13,0)	(6.70935e-13,0)	(1.59071e-12,0)	(3.75532e-12,0)	(8.86e-12,0)	(2.09015e-11,0)	(4.93074e-11,0)	(1.16317e-10,0)	(2.74394e-10,0)	(6.47302e-10,0)	(1.527e-09,0)	(3.60225e-09,0)	(8.4978e-09,0)	(2.00464e-08,0)	(4.72895e-08,0)	(1.11555e-07,0)	(2.63156e-07,0)	(6.20772e-07,0)	(1.46437e-06,0)	(3.45431e-06,0)	(8.14819e-06,0)	(1.92201e-05,0)	(4.53361e-05,0)	(0.000106939,0)	(0.000252263,0)	(0.000595197,0)	(0.00140514,0)	(0.0033222,0)	(0.00788405,0)	(0.0188781,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.046148,0)	(0.0188781,0)	(0.00788403,0)	(0.0033222,0)	(0.00140514,0)	(0.000595199,0)	(0.000252264,0)	(0.000106939,0)	(4.53358e-05,0)	(1.92196e-05,0)	(8.14694e-06,0)	(3.45118e-06,0)	(1.45575e-06,0)	(5.89203e-07,0)	
(1.15107e-13,0)	(2.84413e-13,0)	(6.74312e-13,0)	(1.5919e-12,0)	(3.7558e-12,0)	(8.86026e-12,0)	(2.09017e-11,0)	(4.93076e-11,0)	(1.16317e-10,0)	(2.74395e-10,0)	(6.47306e-10,0)	(1.52702e-09,0)	(3.60228e-09,0)	(8.49785e-09,0)	(2.00465e-08,0)	(4.72896e-08,0)	(1.11556e-07,0)	(2.63156e-07,0)	(6.20777e-07,0)	(1.46438e-06,0)	(3.45429e-06,0)	(8.14816e-06,0)	(1.922e-05,0)	(4.53361e-05,0)	(0.000106939,0)	(0.000252264,0)	(0.000595201,0)	(0.00140514,0)	(0.00332222,0)	(0.00788409,0)	(0.0188781,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.046148,0)	(0.018878,0)	(0.00788403,0)	(0.00332221,0)	(0.00140514,0)	(0.000595198,0)	(0.000252263,0)	(0.000106939,0)	(4.5335e-05,0)	(1.92172e-05,0)	(8.14089e-06,0)	(3.43398e-06,0)	(1.38991e-06,0)	
(4.8794e-14,0)	(1.20563e-13,0)	(2.85842e-13,0)	(6.74811e-13,0)	(1.59209e-12,0)	(3.75589e-12,0)	(8.86027e-12,0)	(2.09016e-11,0)	(4.93072e-11,0)	(1.16317e-10,0)	(2.74395e-10,0)	(6.47309e-10,0)	(1.52702e-09,0)	(3.60228e-09,0)	(8.49784e-09,0)	(2.00464e-08,0)	(4.72896e-08,0)	(1.11555e-07,0)	(2.63157e-07,0)	(6.20777e-07,0)	(1.46436e-06,0)	(3.45426e-06,0)	(8.1481e-06,0)	(1.92199e-05,0)	(4.53359e-05,0)	(0.000106939,0)	(0.000252264,0)	(0.000595197,0)	(0.00140514,0)	(0.00332222,0)	(0.00788401,0)	(0.018878,0)	(0.0461481,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.046148,0)	(0.0188781,0)	(0.00788405,0)	(0.00332221,0)	(0.00140514,0)	(0.000595197,0)	(0.000252263,0)	(0.000106937,0)	(4.53297e-05,0)	(1.9203e-05,0)	(8.10035e-06,0)	(3.27873e-06,0)	
(2.06838e-14,0)	(5.11069e-14,0)	(1.21169e-13,0)	(2.86053e-13,0)	(6.74891e-13,0)	(1.59213e-12,0)	(3.75588e-12,0)	(8.86024e-12,0)	(2.09014e-11,0)	(4.9307e-11,0)	(1.16317e-10,0)	(2.74396e-10,0)	(6.4731e-10,0)	(1.52702e-09,0)	(3.60227e-09,0)	(8.49779e-09,0)	(2.00463e-08,0)	(4.72891e-08,0)	(1.11555e-07,0)	(2.63156e-07,0)	(6.20768e-07,0)	(1.46434e-06,0)	(3.45422e-06,0)	(8.14804e-06,0)	(1.92198e-05,0)	(4.53357e-05,0)	(0.000106939,0)	(0.000252262,0)	(0.000595196,0)	(0.00140514,0)	(0.00332217,0)	(0.00788398,0)	(0.018878,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.046148,0)	(0.0188781,0)	(0.00788404,0)	(0.0033222,0)	(0.00140513,0)	(0.000595195,0)	(0.000252258,0)	(0.000106924,0)	(4.5296e-05,0)	(1.91074e-05,0)	(7.73428e-06,0)	
(8.76793e-15,0)	(2.16643e-14,0)	(5.13638e-14,0)	(1.21259e-13,0)	(2.86088e-13,0)	(6.74907e-13,0)	(1.59213e-12,0)	(3.75588e-12,0)	(8.86017e-12,0)	(2.09014e-11,0)	(4.93071e-11,0)	(1.16317e-10,0)	(2.74397e-10,0)	(6.4731e-10,0)	(1.52702e-09,0)	(3.60226e-09,0)	(8.49777e-09,0)	(2.00462e-08,0)	(4.72892e-08,0)	(1.11555e-07,0)	(2.63153e-07,0)	(6.20762e-07,0)	(1.46433e-06,0)	(3.4542e-06,0)	(8.148e-06,0)	(1.92198e-05,0)	(4.53357e-05,0)	(0.000106938,0)	(0.000252262,0)	(0.000595195,0)	(0.00140512,0)	(0.00332218,0)	(0.00788401,0)	(0.0188781,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.046148,0)	(0.018878,0)	(0.00788402,0)	(0.00332219,0)	(0.00140513,0)	(0.000595184,0)	(0.000252227,0)	(0.000106845,0)	(4.50709e-05,0)	(1.82445e-05,0)	
(3.71675e-15,0)	(9.18357e-15,0)	(2.17733e-14,0)	(5.14019e-14,0)	(1.21273e-13,0)	(2.86095e-13,0)	(6.74908e-13,0)	(1.59213e-12,0)	(3.75585e-12,0)	(8.86016e-12,0)	(2.09014e-11,0)	(4.93073e-11,0)	(1.16318e-10,0)	(2.74397e-10,0)	(6.47309e-10,0)	(1.52701e-09,0)	(3.60225e-09,0)	(8.49772e-09,0)	(2.00463e-08,0)	(4.72892e-08,0)	(1.11554e-07,0)	(2.6315e-07,0)	(6.20757e-07,0)	(1.46432e-06,0)	(3.45419e-06,0)	(8.14799e-06,0)	(1.92198e-05,0)	(4.53354e-05,0)	(0.000106938,0)	(0.000252262,0)	(0.000595189,0)	(0.00140512,0)	(0.00332219,0)	(0.00788403,0)	(0.018878,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.046148,0)	(0.0188781,0)	(0.00788402,0)	(0.00332219,0)	(0.00140511,0)	(0.000595115,0)	(0.000252043,0)	(0.000106315,0)	(4.30375e-05,0)	
(1.57554e-15,0)	(3.89294e-15,0)	(9.22975e-15,0)	(2.17894e-14,0)	(5.14082e-14,0)	(1.21277e-13,0)	(2.86096e-13,0)	(6.74908e-13,0)	(1.59212e-12,0)	(3.75585e-12,0)	(8.86018e-12,0)	(2.09015e-11,0)	(4.93076e-11,0)	(1.16318e-10,0)	(2.74397e-10,0)	(6.47309e-10,0)	(1.52701e-09,0)	(3.60224e-09,0)	(8.49776e-09,0)	(2.00463e-08,0)	(4.72887e-08,0)	(1.11553e-07,0)	(2.63149e-07,0)	(6.20755e-07,0)	(1.46432e-06,0)	(3.45419e-06,0)	(8.14801e-06,0)	(1.92197e-05,0)	(4.53356e-05,0)	(0.000106938,0)	(0.000252259,0)	(0.00059519,0)	(0.00140513,0)	(0.0033222,0)	(0.00788403,0)	(0.0188781,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.046148,0)	(0.018878,0)	(0.00788401,0)	(0.00332214,0)	(0.00140495,0)	(0.000594682,0)	(0.000250798,0)	(0.000101526,0)	
(6.67879e-16,0)	(1.65024e-15,0)	(3.91254e-15,0)	(9.23663e-15,0)	(2.17922e-14,0)	(5.14097e-14,0)	(1.21277e-13,0)	(2.86097e-13,0)	(6.74907e-13,0)	(1.59212e-12,0)	(3.75587e-12,0)	(8.86026e-12,0)	(2.09017e-11,0)	(4.93079e-11,0)	(1.16318e-10,0)	(2.74398e-10,0)	(6.47311e-10,0)	(1.52701e-09,0)	(3.60226e-09,0)	(8.49779e-09,0)	(2.00462e-08,0)	(4.72885e-08,0)	(1.11553e-07,0)	(2.63149e-07,0)	(6.20756e-07,0)	(1.46432e-06,0)	(3.45421e-06,0)	(8.148e-06,0)	(1.92198e-05,0)	(4.53358e-05,0)	(0.000106938,0)	(0.000252261,0)	(0.000595196,0)	(0.00140514,0)	(0.00332221,0)	(0.00788405,0)	(0.0188781,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.046148,0)	(0.018878,0)	(0.0078839,0)	(0.00332177,0)	(0.00140394,0)	(0.000591766,0)	(0.000239527,0)	
(2.83116e-16,0)	(6.99541e-16,0)	(1.65854e-15,0)	(3.91544e-15,0)	(9.23778e-15,0)	(2.17927e-14,0)	(5.14099e-14,0)	(1.21277e-13,0)	(2.86095e-13,0)	(6.74907e-13,0)	(1.59213e-12,0)	(3.7559e-12,0)	(8.86033e-12,0)	(2.09018e-11,0)	(4.93079e-11,0)	(1.16318e-10,0)	(2.74398e-10,0)	(6.47308e-10,0)	(1.52702e-09,0)	(3.60227e-09,0)	(8.49771e-09,0)	(2.0046e-08,0)	(4.72883e-08,0)	(1.11552e-07,0)	(2.63148e-07,0)	(6.20756e-07,0)	(1.46433e-06,0)	(3.4542e-06,0)	(8.14803e-06,0)	(1.92198e-05,0)	(4.53354e-05,0)	(0.000106938,0)	(0.000252263,0)	(0.000595199,0)	(0.00140514,0)	(0.00332221,0)	(0.00788404,0)	(0.018878,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.0461479,0)	(0.0188778,0)	(0.00788307,0)	(0.00331946,0)	(0.00139715,0)	(0.000565284,0)	
(1.20014e-16,0)	(2.96538e-16,0)	(7.03059e-16,0)	(1.65977e-15,0)	(3.91592e-15,0)	(9.23801e-15,0)	(2.17928e-14,0)	(5.14099e-14,0)	(1.21277e-13,0)	(2.86095e-13,0)	(6.74909e-13,0)	(1.59214e-12,0)	(3.75592e-12,0)	(8.86034e-12,0)	(2.09018e-11,0)	(4.93078e-11,0)	(1.16318e-10,0)	(2.74397e-10,0)	(6.47311e-10,0)	(1.52702e-09,0)	(3.60223e-09,0)	(8.49765e-09,0)	(2.00459e-08,0)	(4.72881e-08,0)	(1.11552e-07,0)	(2.63148e-07,0)	(6.20757e-07,0)	(1.46432e-06,0)	(3.45421e-06,0)	(8.14803e-06,0)	(1.92197e-05,0)	(4.53355e-05,0)	(0.000106939,0)	(0.000252264,0)	(0.000595198,0)	(0.00140514,0)	(0.0033222,0)	(0.00788402,0)	(0.0188781,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.0461475,0)	(0.0188761,0)	(0.007878,0)	(0.00330385,0)	(0.00133514,0)	
(5.08742e-17,0)	(1.25703e-16,0)	(2.98029e-16,0)	(7.0358e-16,0)	(1.65997e-15,0)	(3.91602e-15,0)	(9.23803e-15,0)	(2.17928e-14,0)	(5.14095e-14,0)	(1.21277e-13,0)	(2.86096e-13,0)	(6.74912e-13,0)	(1.59215e-12,0)	(3.75593e-12,0)	(8.86034e-12,0)	(2.09018e-11,0)	(4.93078e-11,0)	(1.16318e-10,0)	(2.74398e-10,0)	(6.47311e-10,0)	(1.527e-09,0)	(3.6022e-09,0)	(8.49759e-09,0)	(2.00458e-08,0)	(4.7288e-08,0)	(1.11552e-07,0)	(2.63149e-07,0)	(6.20754e-07,0)	(1.46432e-06,0)	(3.45421e-06,0)	(8.14795e-06,0)	(1.92197e-05,0)	(4.53358e-05,0)	(0.000106939,0)	(0.000252263,0)	(0.000595197,0)	(0.00140513,0)	(0.00332219,0)	(0.00788402,0)	(0.018878,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.325719,0)	(0.117903,0)	(0.0461449,0)	(0.0188659,0)	(0.00784316,0)	(0.00315969,0)	
(2.15657e-17,0)	(5.32859e-17,0)	(1.26335e-16,0)	(2.98249e-16,0)	(7.03666e-16,0)	(1.66001e-15,0)	(3.91602e-15,0)	(9.23802e-15,0)	(2.17926e-14,0)	(5.14095e-14,0)	(1.21277e-13,0)	(2.86097e-13,0)	(6.74915e-13,0)	(1.59215e-12,0)	(3.75592e-12,0)	(8.86031e-12,0)	(2.09017e-11,0)	(4.93075e-11,0)	(1.16318e-10,0)	(2.74397e-10,0)	(6.47303e-10,0)	(1.52699e-09,0)	(3.60217e-09,0)	(8.49755e-09,0)	(2.00457e-08,0)	(4.72879e-08,0)	(1.11552e-07,0)	(2.63147e-07,0)	(6.20755e-07,0)	(1.46432e-06,0)	(3.45417e-06,0)	(8.14796e-06,0)	(1.92198e-05,0)	(4.53358e-05,0)	(0.000106939,0)	(0.000252263,0)	(0.000595195,0)	(0.00140513,0)	(0.00332219,0)	(0.00788401,0)	(0.018878,0)	(0.0461479,0)	(0.117904,0)	(0.325719,0)	(1,0)	(0.325719,0)	(0.117898,0)	(0.0461268,0)	(0.0187926,0)	(0.00751286,0)	
