0	-6.47214	-8.66025	-10.8116	-12.9343	-15.0351	-17.119	-19.1899	
0.25	-6.04778	-8.0794	-10.076	-12.047	-13.9994	-15.9387	-17.8683	
0.5	-5.6673	-7.56925	-9.44208	-11.2948	-13.134	-14.9637	-16.7867	
0.75	-5.32222	-7.11177	-8.8782	-10.6294	-12.3704	-14.1046	-15.834	
1	-5.00663	-6.69577	-8.36699	-10.0267	-11.6788	-13.3258	-14.9693	
1.25	-4.71627	-6.31391	-7.89794	-9.4733	-11.043	-12.6089	-14.1722	
1.5	-4.44798	-5.96113	-7.46417	-8.96082	-10.4533	-11.943	-13.4307	
1.75	-4.1994	-5.6338	-7.06097	-8.48357	-9.90319	-11.3208	-12.7369	
2	-3.9687	-5.32928	-6.68498	-8.03757	-9.38814	-10.7373	-12.0855	
2.25	-3.75442	-5.04555	-6.3337	-7.61993	-8.9049	-10.189	-11.4725	
2.5	-3.55536	-4.78103	-6.00524	-7.22848	-8.45107	-9.67323	-10.8951	
2.75	-3.37046	-4.53445	-5.69812	-6.86155	-8.02482	-9.18799	-10.3511	
3	-3.1988	-4.3047	-5.41112	-6.51782	-7.62472	-8.73177	-9.83893	
3.25	-3.03948	-4.09078	-5.14314	-6.19615	-7.24959	-8.30335	-9.35735	
3.5	-2.89168	-3.89174	-4.8932	-5.8955	-6.89838	-7.90167	-8.90526	
3.75	-2.75459	-3.70669	-4.66033	-5.6149	-6.5701	-7.52574	-8.4817	
4	-2.62743	-3.53472	-4.44356	-5.35333	-6.26372	-7.17453	-8.08564	
4.25	-2.50945	-3.37494	-4.24191	-5.10975	-5.97815	-6.84693	-7.71597	
4.5	-2.39994	-3.2265	-4.05441	-4.88309	-5.71225	-6.54174	-7.37145	
4.75	-2.29823	-3.08855	-3.88006	-4.67224	-5.46483	-6.25767	-7.05068	
5	-2.20366	-2.96028	-3.71792	-4.47611	-5.23463	-5.99335	-6.7522	
5.25	-2.11567	-2.84091	-3.56703	-4.2936	-5.02043	-5.74741	-6.47448	
5.5	-2.03368	-2.72973	-3.42651	-4.12366	-4.82101	-5.51846	-6.21599	
5.75	-1.9572	-2.62606	-3.29552	-3.96528	-4.63519	-5.30518	-5.97521	
6	-1.88576	-2.52927	-3.17328	-3.81752	-4.46187	-5.10628	-5.75072	
6.25	-1.81893	-2.43878	-3.05905	-3.67949	-4.30002	-4.92058	-5.54117	
6.5	-1.75634	-2.35408	-2.95216	-3.55039	-4.14867	-4.74698	-5.3453	
6.75	-1.69762	-2.27468	-2.85202	-3.42946	-4.00694	-4.58445	-5.16197	
7	-1.64246	-2.20014	-2.75804	-3.31603	-3.87404	-4.43208	-4.99011	
7.25	-1.59058	-2.13007	-2.66974	-3.20947	-3.74923	-4.289	-4.82878	
7.5	-1.5417	-2.0641	-2.58664	-3.10924	-3.63185	-4.15447	-4.67709	
7.75	-1.4956	-2.00191	-2.50834	-3.01481	-3.52129	-4.02778	-4.53427	
8	-1.45205	-1.9432	-2.43445	-2.92573	-3.41702	-3.90831	-4.3996	
8.25	-1.41086	-1.8877	-2.36463	-2.84157	-3.31853	-3.79548	-4.27244	
8.5	-1.37186	-1.83518	-2.29856	-2.76197	-3.22538	-3.68879	-4.1522	
8.75	-1.33487	-1.7854	-2.23598	-2.68657	-3.13717	-3.58777	-4.03836	
9	-1.29977	-1.73817	-2.17661	-2.61507	-3.05352	-3.49198	-3.93044	
9.25	-1.26641	-1.6933	-2.12023	-2.54717	-2.97411	-3.40106	-3.828	
9.5	-1.23466	-1.65063	-2.06663	-2.48263	-2.89863	-3.31464	-3.73064	
9.75	-1.20443	-1.61	-2.0156	-2.4212	-2.82681	-3.23241	-3.63802	
10	-1.1756	-1.57128	-1.96698	-2.36268	-2.75839	-3.15409	-3.54979	
10.25	-1.14809	-1.53434	-1.9206	-2.30687	-2.69314	-3.0794	-3.46567	
10.5	-1.12181	-1.49906	-1.87632	-2.25358	-2.63085	-3.00811	-3.38538	
10.75	-1.09668	-1.46533	-1.83399	-2.20266	-2.57133	-2.93999	-3.30866	
11	-1.07262	-1.43306	-1.7935	-2.15395	-2.5144	-2.87484	-3.23529	
11.25	-1.04958	-1.40215	-1.75473	-2.10732	-2.4599	-2.81248	-3.16506	
11.5	-1.02749	-1.37253	-1.71758	-2.06263	-2.40768	-2.75272	-3.09777	
11.75	-1.0063	-1.34412	-1.68194	-2.01977	-2.3576	-2.69542	-3.03325	
12	-0.985944	-1.31684	-1.64774	-1.97863	-2.30953	-2.64043	-2.97133	
12.25	-0.966385	-1.29063	-1.61487	-1.93912	-2.26337	-2.58761	-2.91186	
12.5	-0.947575	-1.26543	-1.58328	-1.90113	-2.21899	-2.53684	-2.8547	
12.75	-0.929473	-1.24118	-1.55288	-1.86459	-2.1763	-2.488	-2.79971	
13	-0.91204	-1.21783	-1.52362	-1.82941	-2.1352	-2.44099	-2.74678	
13.25	-0.89524	-1.19533	-1.49543	-1.79552	-2.09561	-2.39571	-2.6958	
13.5	-0.87904	-1.17364	-1.46825	-1.76285	-2.05745	-2.35206	-2.64666	
13.75	-0.863409	-1.15272	-1.44203	-1.73134	-2.02065	-2.30995	-2.59926	
14	-0.848318	-1.13252	-1.41672	-1.70092	-1.98512	-2.26932	-2.55352	
14.25	-0.833739	-1.11301	-1.39227	-1.67154	-1.95081	-2.23008	-2.50935	
14.5	-0.819648	-1.09415	-1.36865	-1.64316	-1.91766	-2.19216	-2.46667	
14.75	-0.80602	-1.07592	-1.34581	-1.61571	-1.88561	-2.1555	-2.4254	
15	-0.792833	-1.05827	-1.32372	-1.58916	-1.8546	-2.12004	-2.38548	
