0	0.999641	0.950554	0.853411	0.768871	0.698194	
0.14	0.994085	0.976712	0.949263	0.920189	0.891183	
0.28	0.982865	0.955042	0.93052	0.907991	0.88593	
0.42	0.970111	0.932479	0.901502	0.874183	0.847916	
0.56	0.956954	0.912169	0.877869	0.847772	0.819547	
0.7	0.943791	0.893229	0.856135	0.824997	0.795811	
0.84	0.930754	0.875498	0.836513	0.804108	0.774655	
0.98	0.917859	0.858528	0.818015	0.784675	0.754606	
1.12	0.905083	0.842273	0.800711	0.766635	0.736432	
1.26	0.892375	0.826475	0.783691	0.749347	0.719305	
1.4	0.879691	0.811085	0.766897	0.732031	0.701641	
1.54	0.866966	0.79588	0.750689	0.715323	0.684609	
1.68	0.85415	0.781007	0.734783	0.698611	0.66761	
1.82	0.841165	0.76623	0.719301	0.682456	0.651289	
1.96	0.82797	0.751511	0.703647	0.666791	0.635214	
2.1	0.814501	0.736641	0.688552	0.6509	0.619646	
2.24	0.800709	0.721605	0.672859	0.635325	0.603789	
2.38	0.786549	0.706271	0.657014	0.619472	0.587591	
2.52	0.771976	0.690641	0.640972	0.60298	0.571235	
2.66	0.756953	0.674568	0.624502	0.58621	0.554619	
2.8	0.741462	0.65783	0.607674	0.569275	0.537423	
2.94	0.725487	0.640439	0.589784	0.551786	0.519734	
3.08	0.709031	0.622249	0.571054	0.532965	0.501234	
3.22	0.692121	0.603238	0.5516	0.512912	0.481173	
3.36	0.674803	0.583401	0.530231	0.491093	0.459008	
3.5	0.657118	0.562664	0.508065	0.46858	0.435432	
3.64	0.639148	0.541153	0.485199	0.444837	0.410867	
3.78	0.620981	0.519109	0.461301	0.419539	0.385551	
3.92	0.602721	0.49644	0.435972	0.392118	0.358273	
4.06	0.584469	0.47347	0.410245	0.365267	0.330053	
4.2	0.566344	0.450489	0.384617	0.337803	0.301686	
4.34	0.548456	0.427804	0.359204	0.311339	0.274815	
4.48	0.530903	0.405715	0.334966	0.286275	0.249551	
4.62	0.513773	0.38441	0.312009	0.262704	0.226618	
4.76	0.497148	0.364097	0.290528	0.241533	0.206165	
4.9	0.481086	0.344913	0.27082	0.222411	0.187993	
5.04	0.465634	0.326952	0.25285	0.205367	0.172335	
5.18	0.450827	0.310254	0.236607	0.190356	0.158675	
5.32	0.436684	0.294784	0.221949	0.177107	0.146847	
5.46	0.423212	0.280517	0.208822	0.165455	0.13651	
5.6	0.410408	0.267386	0.197038	0.15517	0.127537	
5.74	0.398262	0.25534	0.186485	0.146069	0.119676	
5.88	0.386756	0.244288	0.176994	0.138006	0.112749	
6.02	0.375868	0.234135	0.168436	0.130836	0.106639	
6.16	0.365574	0.224796	0.160722	0.124407	0.101223	
6.3	0.355845	0.21623	0.153723	0.118643	0.0963758	
6.44	0.346653	0.208341	0.147379	0.113467	0.0920296	
6.58	0.337969	0.201065	0.141601	0.10878	0.088115	
6.72	0.329763	0.194351	0.136334	0.104523	0.0845791	
6.86	0.322008	0.18814	0.131511	0.100653	0.0813693	
